business_address,doing_business_as_dba,qualify_alcohol,seating_interest_sidewalk,category,count,avg_value,total_value,max_value
"2460 BROADWAY, Manhattan, NY",SWEETGREEN,False,sidewalk,medium,3,15.0,45.0,15.0
"61 CHRISTOPHER STREET, Manhattan, NY",THE DUPLEX,True,sidewalk,large,1,18.0,18.0,18.0
"90 West 3rd Street, Manhattan, NY",Springbone Kitchen,False,sidewalk,small,1,7.0,7.0,7.0
"2170 Broadway, Manhattan, NY",RedFarm,True,sidewalk,medium,1,13.0,13.0,13.0
"78-17 ROOSEVELT AVE, Queens, NY",LOS CAFETALES RESTAURANT CORP,False,sidewalk,large,1,20.0,20.0,20.0
"125 WEST  116 STREET, Manhattan, NY",KEUR COUMBA RESTAURANT,False,sidewalk,large,1,19.0,19.0,19.0
"338  3rd Avenue , Manhattan, NY",Carra LLC,True,sidewalk,small,1,7.0,7.0,7.0
"16 WESTCHESTER SQ, Bronx, NY",MCDONALD'S,False,sidewalk,medium,1,15.0,15.0,15.0
"78-17 ROOSEVELT AVE, Queens, NY",LOS CAFETALES RESTAURANT CORP,False,sidewalk,small,1,8.0,8.0,8.0
"18524A HORACE HARDING EXPY, Queens, NY",Fresh Sub 168 Inc,False,sidewalk,small,1,6.0,6.0,6.0
"2460 BROADWAY, Manhattan, NY",SWEETGREEN,False,sidewalk,small,3,7.0,21.0,7.0
"2462 GRAND CONCOURSE, Bronx, NY",TROPILYZ B RESTAURANT INC,False,sidewalk,medium,1,9.0,9.0,9.0
"38-12 30th avenue, Queens, NY",Paris Oven Inc,False,sidewalk,large,1,20.0,20.0,20.0
"45-30  Bell Blvd, Queens, NY",TOSOCCHON,True,sidewalk,large,1,20.0,20.0,20.0
