communityb,class,subcategor,nys_assemb,total,count,average
"410, 412, 413",PARK,EXWY,"23, 31",202.647,1,202.647
112,PARK,Large Park,72,196.398,1,196.398
208,PARK,Large Park,81,144.29,1,144.29
502,PARK,Flagship Park,62,94.1,1,94.1
305,PARK,REDEC,60,42.583,1,42.583
503,PARK,Undeveloped,62,36.691,1,36.691
301,PARK,Large Park,50,36.493,1,36.493
"302, 306",PARK,Large Park,52,21.377,1,21.377
414,PARK,Large Park,31,19.556,1,19.556
308,PARK,Large Park,56,9.339,1,9.339
301,PARK,Neighborhood Park,50,6.611,1,6.611
103,PARK,Neighborhood Plgd,74,4.3,1,4.3
318,PARK,Neighborhood Plgd,59,2.984,1,2.984
402,PARK,Neighborhood Plgd,30,2.027,1,2.027
306,PARK,JOP,52,1.549,1,1.549
106,PLGD,Neighborhood Plgd,74,1.275,1,1.275
212,PARK,JOP,83,1.23,1,1.23
401,PARK,Sitting Area/Triangle/Mall,36,1.226,1,1.226
411,PARK,JOP,26,1.166,1,1.166
201,PARK,Neighborhood Plgd,79,1.001,1,1.001
316,PARK,Neighborhood Park,55,0.918,1,0.918
305,PARK,Neighborhood Plgd,60,0.847,1,0.847
"203, 206",PARK,Sitting Area/Triangle/Mall,86,0.759,1,0.759
301,PARK,Neighborhood Plgd,53,0.752,1,0.752
305,PARK,JOP,60,0.694,1,0.694
407,PARK,Sitting Area/Triangle/Mall,40,0.658,1,0.658
102,PLGD,Neighborhood Plgd,66,0.635,1,0.635
411,PARK,Sitting Area/Triangle/Mall,26,0.553,1,0.553
203,PARK,Neighborhood Plgd,79,0.549,1,0.549
312,PARK,JOP,44,0.538,1,0.538
302,PARK,Sitting Area/Triangle/Mall,52,0.515,2,0.2575
204,PARK,To Be Determined,84,0.494,1,0.494
111,PARK,Greenthumb,68,0.296,2,0.148
316,PARK,Greenthumb,60,0.249,1,0.249
102,PARK,,66,0.208,1,0.208
106,PARK,,73,0.17,1,0.17
202,PARK,Sitting Area/Triangle/Mall,85,0.17,1,0.17
205,PARK,Greenthumb,77,0.15,1,0.15
103,PARK,Greenthumb,74,0.15,1,0.15
103,PLGD,Neighborhood Plgd,65,0.135,1,0.135
212,PARK,Sitting Area/Triangle/Mall,81,0.12,1,0.12
101,PARK,Sitting Area/Triangle/Mall,65,0.117,1,0.117
412,PARK,,29,0.1,1,0.1
305,PARK,Greenthumb,54,0.068,1,0.068
110,PARK,,70,0.068,1,0.068
302,PARK,,57,0.058,1,0.058
301,PARK,Sitting Area/Triangle/Mall,53,0.02,1,0.02
305,PARK,Sitting Area/Triangle/Mall,54,0.011,1,0.011
