violation_description,vehicle_make,sub_division,plate_type,violation_precinct,violation_in_front_of_or,issuing_agency,date_first_observed,rank,dense_rank
,SUBAR,F1,PAS,122,,K,0,2,1
,HONDA,D5,PAS,114,F,Y,0,5,1
,MINI,D5,PAS,114,F,Y,0,5,1
,HONDA,D5,PAS,114,F,Y,0,5,1
,MINI,D5,PAS,114,F,Y,0,5,1
,MINI,D5,PAS,114,F,Y,0,5,1
,MINI,D5,PAS,114,F,Y,0,5,1
,MINI,D5,PAS,114,O,Y,20220608,5,2
,HONDA,D5,PAS,114,O,Y,20220608,5,2
,MINI,D5,PAS,114,O,Y,20220608,5,2
,MITSU,C3,PAS,115,F,P,0,3,1
,BMW,E5,PAS,114,F,P,0,5,1
,MINI,D5,PAS,114,F,P,0,5,1
,HONDA,D5,PAS,114,F,P,0,5,1
,MINI,D5,PAS,114,F,P,0,5,1
,MINI,D5,PAS,114,F,P,0,5,1
,HONDA,D5,PAS,114,F,P,0,5,1
,MINI,D5,PAS,114,F,P,0,5,1
,JEEP,J2,PAS,115,F,P,0,3,1
,ME/BE,C2,PAS,174,O,Q,0,1,1
