summons_number,total_violation_code,street_name,issue_date
1482045254,14,E 78 ST,2022-06-14 00:00:00
1462135882,14,JACOB JAVITS PLAYGR,2022-06-05 00:00:00
1480632181,14,ROCKAWAY,2022-06-10 00:00:00
1480635560,98,PAERDEGAT 8 ST,2022-06-15 00:00:00
1484741780,20,MT EDEN PKWY,2022-06-30 00:00:00
1456730988,46,WADSWORTH,2022-06-21 00:00:00
1484765096,14,B 106TH,2022-06-26 00:00:00
1478531794,92,ELGAR PL,2022-06-26 00:00:00
1479519996,21,S/ MARKET,2022-06-23 00:00:00
1449688937,98,GRAND AVE,2022-06-15 00:00:00
1430067895,40,W 162 ST,2022-07-02 00:00:00
1479839152,120,MAIN ST,2022-06-08 00:00:00
1441872073,19,NORTHERN BLVD,2022-06-30 00:00:00
1481856522,40,50 AVE,2022-06-24 00:00:00
1484769454,98,HAMILTON AVE,2022-06-15 00:00:00
1446757778,62,HAZEN STREET,2022-06-24 00:00:00
1481882030,40,30 RD,2022-07-03 00:00:00
1484780796,196,30 ST,2022-06-21 00:00:00
1484697303,134,W 28TH ST,2022-06-10 00:00:00
1455310037,20,DOLPHIN CIRCLE,2022-06-26 00:00:00
1427353463,46,16TH AVE,2022-06-24 00:00:00
1462135020,14,INWOOD HILL PARK,2022-06-05 00:00:00
1484799732,34,30 ST,2022-06-22 00:00:00
1478525824,40,ADLER PLACE,2022-06-20 00:00:00
1427354133,40,MINNA ST,2022-06-21 00:00:00
1484773056,14,CENTRE ST,2022-06-27 00:00:00
1480695701,40,EAST 28 STREET,2022-07-02 00:00:00
1484726364,14,OPP ADAMS STREET,2022-06-17 00:00:00
1480357571,63,7TH ST,2022-06-16 00:00:00
1455220437,20,PIER 40,2022-07-01 00:00:00
1480327839,40,FLUSHING MEADOWS COR,2022-06-05 00:00:00
1307576539,51,SEAVER WAY,2022-06-01 00:00:00
1484790893,92,5 AVE,2022-06-21 00:00:00
1481974646,196,VAN NOSTRAND CT,2022-06-24 00:00:00
1484697686,126,SOUTH ST,2022-06-19 00:00:00
1481981080,40,41ST AVE,2022-07-06 00:00:00
1478526816,67,S/O 120 CASALS PLACE,2022-06-27 00:00:00
1478689808,34,E 44TH ST,2022-06-16 00:00:00
1480628700,46,E 101 ST,2022-06-28 00:00:00
1478531198,42,DEBS PL,2022-06-22 00:00:00
1482051837,38,LEXINGTON AVENUE,2022-06-30 00:00:00
1481166372,20,MORRIS PARK AVE,2022-07-07 00:00:00
1481168009,142,WALTON AVE,2022-07-05 00:00:00
1479839413,240,MAIN ST,2022-07-01 00:00:00
1457605612,92,PITKIN AVE,2022-07-07 00:00:00
1449157452,46,173 ST,2022-06-26 00:00:00
1481939506,98,25 AVE,2022-07-04 00:00:00
1462548945,37,JAMAICA,2000-05-22 00:00:00
1447578004,19,ROOSEVELT AVE,2022-06-16 00:00:00
