permitorlicensefee,marchminfee,juneminfee,permitorlicenseenddate,augustminfee,origcontracexpdate
651.73,519.86,231.0,2023-11-19 00:00:00,220.0,11/19/23
651.73,519.86,231.0,2028-11-19 00:00:00,220.0,11/19/23
233.33,145.0,233.35,2018-12-31 00:00:00,216.65,12/31/18
15550.0,31060.0,0.0,2009-12-28 00:00:00,0.0,11/30/13
0.0,0.0,0.0,1998-04-30 00:00:00,0.0,04/30/98
0.0,633.45,771.0,2005-12-31 00:00:00,753.5,12/31/05
0.0,143.03,2421.0,2005-12-31 00:00:00,2050.0,12/31/05
0.0,0.0,0.0,2005-10-19 00:00:00,0.0,12/31/05
0.0,50001.0,0.0,2001-08-31 00:00:00,0.0,08-31-01
0.0,0.0,0.0,2002-12-31 00:00:00,0.0,12-31-02
0.0,420.0,416.0,2001-04-11 00:00:00,195.0,12-31-02
1200.0,1074.4,833.33,2009-12-31 00:00:00,666.65,12/31/09
1040.0,1033.8,984.0,2009-12-31 00:00:00,1016.0,12/31/09
280.0,356.0,350.0,2009-12-31 00:00:00,216.0,12/31/09
0.0,0.0,0.0,2008-02-29 00:00:00,0.0,12/31/09
68000.0,62000.0,45000.0,2022-04-05 00:00:00,1284.0,12/31/21
1800.0,0.0,0.0,2009-07-31 00:00:00,0.0,07/31/09
0.0,0.0,0.0,1998-08-07 00:00:00,0.0,08/07/98
0.0,210.0,175.0,2028-12-31 00:00:00,185.0,12/31/2028
0.0,417.0,333.0,2029-12-31 00:00:00,233.0,12/31/2029
0.0,0.0,0.0,2001-12-07 00:00:00,0.0,12-31-03
566.0,316.0,270.0,2015-12-31 00:00:00,566.0,12/31/15
0.0,0.0,0.0,2000-12-31 00:00:00,0.0,12/31/2000
0.0,0.0,0.0,2000-12-31 00:00:00,0.0,12/31/2000
0.0,0.0,0.0,1999-01-06 00:00:00,0.0,12/31/2000
0.0,0.0,0.0,2002-05-30 00:00:00,0.0,05/30/2002
4100.0,2335.0,1158.0,2017-12-31 00:00:00,0.0,12/31/17
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
66666.0,55560.0,55555.0,2024-01-14 00:00:00,55555.0,01/14/24
1500.0,0.0,0.0,2008-12-31 00:00:00,0.0,12/31/08
0.0,50000.0,0.0,2008-12-31 00:00:00,0.0,12/31/08
15076.0,29035.0,26336.0,2008-03-31 00:00:00,25081.0,03/31/08
0.0,519.86,231.0,2023-11-19 00:00:00,220.0,11/19/2028
0.0,519.86,231.0,2028-11-19 00:00:00,220.0,11/19/2028
285.0,407.0,385.0,2010-11-21 00:00:00,367.0,11/21/10
104.0,116.0,105.0,2010-11-21 00:00:00,102.0,11/21/10
0.0,0.0,0.0,2001-12-31 00:00:00,0.0,12/31/04
166.0,235.0,163.0,2019-09-10 00:00:00,140.0,12/31/2022
0.0,0.0,0.0,2000-08-24 00:00:00,0.0,12/31/2001
0.0,0.0,0.0,2001-12-31 00:00:00,0.0,12/31/2001
0.0,316.0,270.0,2026-12-31 00:00:00,566.0,12/31/2026
0.0,6667.0,6250.0,2004-03-31 00:00:00,0.0,03/31/2004
0.0,0.0,0.0,2002-07-18 00:00:00,0.0,07/18/02
0.0,0.0,0.0,2003-11-19 00:00:00,0.0,12/31/03
0.0,0.0,0.0,2003-12-31 00:00:00,0.0,12/31/03
0.0,0.0,0.0,2007-12-31 00:00:00,0.0,12/31/07
14166.0,31662.5,27350.0,2010-04-30 00:00:00,24812.5,04/30/2010
208333.37,166666.0,166674.0,2021-09-30 00:00:00,166674.0,09/30/21
208333.37,166666.0,166674.0,2024-02-29 00:00:00,166674.0,09/30/21
720.0,833.35,833.0,2012-12-17 00:00:00,504.44,12/31/12
460.0,1170.0,497.6,2014-12-31 00:00:00,430.0,12/31/14
727.9,589.48,832.79,2023-12-31 00:00:00,790.75,12/31/23
183.33,131.98,221.0,2023-04-11 00:00:00,150.22,12/31/23
