addlocationinfo1,addressline2,permitorlicenseenddate,total,count,average
DYKER BEACH GOLF,DYKER BEACH GOLF COURSE,2024-01-14 00:00:00,666660.0,12,55555.0
3 LANDING SLIPS AT,"GANGWAYS 3, 4, AND 5 SOUVENIR",2021-09-30 00:00:00,166674.0,1,166674.0
3 LANDING SLIPS AT,"GANGWAYS 3, 4, AND 5 SOUVENIR",2024-02-29 00:00:00,166674.0,1,166674.0
KERBS MEMORIAL BOAT-,CONSERVATORY WATER SNACK BAR,2008-03-31 00:00:00,25081.0,1,25081.0
FMCP,FLUSHING MEADOWS GOLF COURSE,2010-04-30 00:00:00,24812.5,1,24812.5
IN FRONT OF LIGHT,,2005-12-31 00:00:00,2050.0,1,2050.0
OLMSTED CENTER,OLMSTED CENTER CAFETERIA/SNACK,2022-04-05 00:00:00,1284.0,1,1284.0
30TH AVE. B/W 84TH,,2009-12-31 00:00:00,1016.0,1,1016.0
DESIGNATED VALLEYBALL AREA,,2023-12-31 00:00:00,790.75,1,790.75
VOLLEYBALL  AREA,,2005-12-31 00:00:00,753.5,1,753.5
CRESTON AVE. &,"FORDHAM, CRESTON, E. 190 ST.",2009-12-31 00:00:00,666.65,1,666.65
SEAMAN AVENUE AND,DYCKMAN ST. & HUDSON RIVER,2015-12-31 00:00:00,566.0,1,566.0
INWOOD HILL,DYCKMAN ST. & HUDSON RIVER,2026-12-31 00:00:00,566.0,1,566.0
BAY ST. B/W HENRY,,2012-12-17 00:00:00,504.44,1,504.44
OUTER PATHWAY NR,,2014-12-31 00:00:00,430.0,1,430.0
LUCILLE FERRIER PLYG,DYKER BEACH TENNIS,2010-11-21 00:00:00,367.0,1,367.0
P.S. 52 MASON PLAYGROUND,"MASON, BUEL, DONGAN HILLS AVES",2029-12-31 00:00:00,233.0,1,233.0
"HART BLVD, & REVERE ST","VICTORY, CLOVE, FOREST",2028-11-19 00:00:00,220.0,1,220.0
HART BLVD & REVERE ST,"VICTORY, CLOVE, FOREST",2028-11-19 00:00:00,220.0,1,220.0
HART BLVD & REVERE ST,"VICTORY, CLOVE, FOREST",2023-11-19 00:00:00,220.0,1,220.0
"HART BLVD, & REVERE ST","VICTORY, CLOVE, FOREST",2023-11-19 00:00:00,220.0,1,220.0
NORTHERN SOCCER FIELD,DYCKMAN ST. & HUDSON RIVER,2018-12-31 00:00:00,216.65,1,216.65
AT THE SOUTH ENTRACE,,2009-12-31 00:00:00,216.0,1,216.0
"BALL FIELDS 1&2,",MONTGOMERY ST TO E 12 ST.,2001-04-11 00:00:00,195.0,1,195.0
DELPHIN H GREENE PLAYGROUND,,2028-12-31 00:00:00,185.0,1,185.0
221ST ST & 120TH AVE,,2023-04-11 00:00:00,150.22,1,150.22
ALONG THE PATH OF THE,DYCKMAN ST. & HUDSON RIVER,2019-09-10 00:00:00,140.0,1,140.0
DEKECK DILWORTH-,,2010-11-21 00:00:00,102.0,1,102.0
