borough,managing_city_agency,artwork_type1,record_count,total_amount,avg_amount,max_amount,min_amount
Brooklyn,Department of Parks and Recreation,Relief,6,11400,1900.0,1900,1900
Queens,Queens Borough Public Library,Bas-relief sculpture,19,38133,2007.0,2007,2007
Queens,Department of Parks and Recreation,Sculpture,20,39891,1994.55,1996,1967
Brooklyn,Department of Transportation,Installation,19,38228,2012.0,2012,2012
Bronx,Department of Parks and Recreation,Bas-relief roundel,90,174240,1936.0,1936,1936
Staten Island,Department of Parks and Recreation,Plaque,5,3900,1950.0,1962,1938
Manhattan,Department of Design and Construction,Site-specific installation,19,38266,2014.0,2014,2014
Manhattan,Department of Parks and Recreation,Bas-relief,24,46488,1937.0,1937,1937
Brooklyn,Department of Transportation,"Decorative pavement, mosaic",19,38247,2013.0,2013,2013
Manhattan,Department of Parks and Recreation,Statue,17,32772,1927.764705882353,1972,1850
Brooklyn,New York City Economic Development Corporation,Installation,19,37886,1994.0,1994,1994
Manhattan,Department of Parks and Recreation,Sculpture,20,39777,1988.85,1990,1967
