nextstep,segmentstatus,bctsnum,trafficdirectiondesc,category,count,avg_value,total_value,max_value
,False,DOT-524776-Q5G3,One-way,low volume,1,,,
,False,DOT-653927-S8P0,Two-way,low volume,1,,,
,False,DOT-628800-D4Y6,Two-way,low volume,1,,,
,False,DOT-538033-C6B1,Two-way,low volume,1,,,
,False,DOT-651749-N1B6,Two-way,low volume,1,,,
,False,06-1907,One-way,low volume,1,,,
,False,DOT-611622-B8S6,Two-way,low volume,1,,,
,False,DOT-649859-B4N5,Two-way,low volume,1,,,
,False,DOT-649660-X6X9,One-way,low volume,1,,,
,False,DOT-667526-C1W2,Two-way,low volume,1,,,
,False,DOT-673858-M1R1,One-way,low volume,1,,,
,False,DOT-654249-N3R8,Two-way,low volume,1,,,
,False,DOT-675605-G8Y2,Two-way,low volume,1,,,
,False,DOT-659718-Q4P5,Two-way,low volume,1,,,
,False,DOT-650471-V8C0,Two-way,low volume,1,,,
,False,DOT-650736-R1K2,Two-way,low volume,2,,,
,False,DOT-625932-X5S8,One-way,low volume,1,,,
,False,DOT-651721-Q9L3,Two-way,low volume,1,,,
,False,DOT-667122-J4P8,Two-way,low volume,1,,,
,False,DOT-665715-P4Q7,One-way,low volume,1,,,
,False,DOT-674828-J0H4,Two-way,low volume,1,,,
,False,DOT-631307-T6X8,One-way,low volume,1,,,
,False,DOT-587110-D2K8,One-way,low volume,1,,,
,False,DOT-501893-F6H3,Two-way,low volume,1,,,
,False,DOT-665157-G4N9,One-way,low volume,1,,,
,False,DOT-649453-K3V8,One-way,low volume,1,,,
,False,DOT-665077-Z8X6,One-way,low volume,1,,,
,False,DOT-666407-N1F8,Two-way,low volume,1,,,
,False,DOT-649637-W9T8,Two-way,low volume,1,,,
,False,DOT-673794-S4L2,One-way,low volume,1,,,
,False,DOT-652108-W9N0,Two-way,low volume,1,,,
,False,DOT-666835-G5Z1,One-way,low volume,2,,,
,False,DOT-666403-F5C3,Two-way,low volume,1,,,
,False,DOT-635468-K7T8,One-way,low volume,1,,,
,False,DOT-624162-X9S0,Two-way,low volume,1,,,
,False,DOT-257912-Z8Z3,One-way,low volume,1,,,
,False,DOT-623940-G0S7,One-way,low volume,1,,,
,False,DOT-646732-W5S8,Two-way,low volume,1,,,
,False,DOT-666700-B6G3,Two-way,low volume,1,,,
,False,DOT-527550-V3S5,Two-way,low volume,1,,,
,False,DOT-648604-G9H8,Two-way,low volume,1,,,
,False,DOT-674253-V4G0,One-way,low volume,1,,,
,False,322147-L0J1,One-way,low volume,1,,,
