fact_column,total_dimension1,average_dimension2
LINDA & M TRANSPORTATION,0.0,0.03
CAREY LIMO NY ,0.0,0.01
BROAD DYCKMAN CAR SERVICE ,0.0,0.03
EUROPE LIMO SERVICE ,0.0,0.01
R & R ROAD LIMO SERVICE ,0.0,0.01
FLATIRON TRANSIT ,0.0,0.02
LAKEVIEW CARS,0.0,0.03
GOTHAM CAR SERVICE,0.0,0.03
B Q N CAR SERVICE ,2.0,0.03
BAY EXPRESS ,0.0,0.03
ZPI CORPORATION,0.0,0.03
SKYLINE CREDIT RIDE,0.0,0.02
COMMUNITY CAR SERVICE,0.0,0.03
GROUP AMERICAR TRANSPORTATION,0.0,0.025
CAR 24 TRANSPORTATION,0.0,0.02
PASHA ENTERPRISES ,0.0,0.01
MEXICANA CAR SERVICE ,0.0,0.03
PARTNERS DYNAMIC SECURITY TRANSPORTATION,0.0,0.01
MIRAE CALLS ,0.0,0.02
THE ORIGINAL DIAL CAR & LIMO,0.0,0.015
MOBILE #1 CAR SERVICE ,0.0,0.03
UBER,0.0,0.020000000000000007
TAP & RIDE,0.0,0.02
HARLEM CARS ,0.0,0.03
SEAT & GO CAR & LIMOUSINE SERVICE ,0.0,0.02
PARTICULAR PEOPLE CAR SERVICE ,0.0,0.03
BLS LIMO SERVICE OF NY ,0.0,0.01
NEW NEIGHBOR LUXURY,0.0,0.01
V S EXPRESS LIMO AND CAR SERVICE ,0.0,0.03
LAPUMA GO GREEN,0.0,0.03
MONACO LIMO & CAR SERVICES ,0.0,0.03
SEAGULL CORPORATE TRANSPORTATION ,0.0,0.02500000000000001
MAZIN CAR & LIMO SERVICE,0.0,0.03
MATTHEW'S LIMO ,0.0,0.02
DIANE CAR SERVICE,0.0,0.03
BER LIMO,0.0,0.01
