latitude,fatal_crashes,on_demand_service,total_vehicle_safety_violations
40.711192,0.0,Not Reported,0.21
40.782137,0.0,Not Reported,0.04
40.735627,0.0,Not Reported,0.09
40.75273,0.0,Yes,2.5
40.717166,0.0,Not Reported,0.0
40.74393,0.0,Not Reported,0.06
40.764583,0.0,Not Reported,0.2
40.756839,0.0,Yes,0.26
40.617782,0.0,Not Reported,0.07
40.737289,0.0,Not Reported,0.13
40.592698,0.0,Not Reported,0.26
40.681771,0.0,Not Reported,0.09
40.733779,0.0,Not Reported,0.06
40.751777,0.0,Not Reported,0.03
40.752235,0.0,Not Reported,0.34
40.82848,0.0,Not Reported,0.26
40.680078,0.0,Not Reported,0.03
40.740878,0.0,Not Reported,0.06
40.602225,0.0,Not Reported,0.04
40.803251,0.0,Yes,0.0
40.701122,0.0,Not Reported,0.09
40.625703,0.0,Not Reported,0.0
40.59092,0.0,Not Reported,1.92
40.765944,0.0,Not Reported,0.06
40.871273,0.0,Not Reported,0.02
40.752792,0.0,Yes,0.1
40.819497,0.0,Not Reported,0.11
40.688403,0.0,Not Reported,0.19
40.864833,0.0,Not Reported,0.11
40.615053,0.0,Not Reported,0.0
40.779966,0.0,Yes,0.01
40.675852,0.0,Not Reported,0.03
40.922042,0.0,Not Reported,0.0
40.807098,0.0,Not Reported,0.16
40.823087,0.0,Not Reported,0.0
40.830027,0.0,Not Reported,0.05
