fax_number,fax_number_1,seats109,grade9swdapplicants1,prgdesc8,prgdesc4,total_attendance_rate
212-569-1190,212-569-1190,,20.0,,,0.68
718-486-2505,718-486-2505,,225.0,,,0.86
718-860-1934,718-860-1934,,105.0,,,0.8
718-266-5093,718-266-5093,,77.0,,,0.87
718-647-4458,718-647-4458,,112.0,,"Prepares students for careers in electrical and mechanical systems related to transportation and industrial and commercial wiring systems. Students are trained in a state-of-the-art lab, utilizing tools and equipment that are aligned with the MTA's training facility. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: OSHA 10hr and SkillsUSA Construction Wiring.",0.84
718-472-0490,718-472-0490,,227.0,,,0.94
718-969-5524,718-969-5524,,94.0,,,0.9
718-922-0593,718-922-0593,,126.0,,,0.8
718-596-9434,718-596-9434,,181.0,,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses including: culinary, information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit. Students are expected to participate in our ninth grade summer program as well as Saturday classes for program acceleration",0.88
212-737-2863,212-737-2863,,32.0,,"A four-year rigorous curriculum prepares students for college and career. Students take daily drama and movement classes on acting techniques and tuning their physical instruments in preparation for full productions in 11th and 12th grades. Students study theater history, voice and speech, improvisation, and digital filmmaking. Students complete internships with cultural organizations, compete yearly in the National Shakespeare Competition, and graduate with both a CTE and arts endorsement.",0.93
718-922-2761,718-922-2761,,69.0,,,0.82
718-381-3012,718-381-3012,,,,"Participants study sight singing, music theory, and music history. This studio's performing groups include four symphony orchestras, two concert bands, two jazz bands, and two musical pit orchestras. Participants also have the opportunity to compose, conduct, and perform original repertoire and utilize a state-of-the-art SoundLab recording studio. Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instruments will be provided by the school at the audition. Amplifiers will also be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection.",0.95
718-381-3012,718-381-3012,,,,,3.83
718-658-1613,718-658-1613,,156.0,,,0.85
718-977-4802,718-977-4802,,130.0,,,0.89
212-488-3335,212-488-3335,,263.0,,,0.79
718-574-3971,718-574-3971,,73.0,,,0.78
718-286-3601,718-286-3601,,,,,0.92
212-346-0712,212-346-0712,,234.0,,,0.88
718-860-8232,718-860-8232,,131.0,,,0.79
212-787-1455,212-787-1455,,71.0,,,0.84
718-736-7325,718-736-7325,,114.0,,,0.86
