dbn,total_attendance_rate,school_name,school_name_1
12X521,0.79,"Metropolitan Soundview High School, The","Metropolitan Soundview High School, The"
28Q325,0.85,Hillside Arts & Letters Academy,Hillside Arts & Letters Academy
23K514,0.82,Frederick Douglass Academy VII High School,Frederick Douglass Academy VII High School
28Q686,0.92,Queens Metropolitan High School,Queens Metropolitan High School
14K488,0.86,Brooklyn Preparatory High School,Brooklyn Preparatory High School
08X530,0.8,Longwood Preparatory Academy,Longwood Preparatory Academy
28Q690,0.89,High School for Law Enforcement and Public Safety,High School for Law Enforcement and Public Safety
21K690,0.87,Brooklyn Studio Secondary School,Brooklyn Studio Secondary School
06M423,0.68,High School for Excellence and Innovation,High School for Excellence and Innovation
30Q258,0.94,Energy Tech High School,Energy Tech High School
19K615,0.84,Transit Tech Career and Technical Education High School,Transit Tech Career and Technical Education High School
03M402,0.84,The Urban Assembly School for Green Careers,The Urban Assembly School for Green Careers
19K502,0.8,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety
02M489,0.88,High School of Economics and Finance,High School of Economics and Finance
13K594,0.78,Gotham Professional Arts Academy,Gotham Professional Arts Academy
02M437,0.79,Hudson High School of Learning Technologies,Hudson High School of Learning Technologies
14K449,4.779999999999999,"Brooklyn Latin School, The","Brooklyn Latin School, The"
02M519,0.93,Talent Unlimited High School,Talent Unlimited High School
13K605,0.88,George Westinghouse Career and Technical Education High School,George Westinghouse Career and Technical Education High School
25Q670,0.9,Robert F. Kennedy Community High School,Robert F. Kennedy Community High School
29Q326,0.86,Cambria Heights Academy,Cambria Heights Academy
