building_id,total_project_units,project_name,project_start_date
343596.0,36.0,1644 NEW YORK AVENUE,2024-12-23
1015676.0,240.0,23-10 42ND ROAD APARTMENTS,2024-08-19
812479.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
9707.0,219.0,MASARYK TOWERS.HRP.FY25,2025-06-26
979882.0,68.0,21-07 ASTORIA BLVD APARTMENTS,2025-04-25
88524.0,64.0,TIMPSON PLACE HDFC.GHPP.FY25,2025-06-30
1014155.0,44.0,2769 CRESTON AVENUE,2024-10-07
1014141.0,111.0,UPS. 1806 ANTHONY AVE,2025-06-30
132465.0,18.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),2024-12-20
927205.0,12.0,NEW PENN DEVELOPMENT,2024-12-30
1014038.0,26.0,22-25 NEW HAVEN AVENUE APARTMENTS,2024-07-11
321897.0,17.0,B&R.YR15.FY25,2025-06-13
154257.0,18.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),2024-12-20
95425.0,24.0,2040 MCGRAW AVE APARTMENTS,2024-07-01
956150.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
956128.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
930514.0,328.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
267282.0,9.0,153 EAST 51 STREET,2025-05-14
930402.0,656.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
1006623.0,63.0,37-42 30TH STREET,2025-04-22
1013796.0,25.0,633 EAST 230 STREET,2024-09-05
79328.0,276.0,WEST FARMS.HUDMF.FY25,2024-09-19
1016814.0,50.0,180 PENNSYLVANIA AVE APARTMENTS,2025-03-27
956164.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
956126.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
1011483.0,73.0,131 CONCORD STREET APARTMENTS,2025-03-12
887513.0,48.0,SALEM HOUSE.YR15.FY25,2025-01-30
1006161.0,34.0,THE TRIO APARTMENTS,2024-08-27
930631.0,328.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
930771.0,328.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
37595.0,29.0,MORNINGSIDE HEIGHTS III. HPO.FY25,2025-06-30
1016893.0,75.0,130 EAST 165TH STREET APARTMENTS,2025-03-31
930627.0,328.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
109365.0,8.0,1305 SHAKESPEARE AVENUE,2024-10-10
79792.0,179.0,CROTONA PARK WEST HDFC.HPO.FY24,2024-06-28
1017566.0,8.0,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),2025-05-29
956166.0,254.0,NORTH SHORE PLAZA.YR15.FY25,2025-03-31
1017025.0,42.0,256 MT HOPE PLACE_HPS,2025-03-31
97336.0,16.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,2025-06-27
877798.0,98.0,CLAREMONT PARK APARTMENTS.YR15.FY25,2025-04-25
930949.0,328.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
933223.0,656.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2024-12-19
956166.0,29.0,MORNINGSIDE HEIGHTS III. HPO.FY25,2025-03-31
3427.0,56.0,JERICHO HOUSE,2025-01-01
