borough,floor,building_owner_name,procedure_name,total,count,average
Manhattan,10th Floor,"APF 28 W 44 Owner LP, C/o APF Properties, LLC",Interior Foam,1500.0,1,1500.0
Queens,2ND,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,811.0,1,811.0
Brooklyn,Cellar,New York City Housing Authority (NYCHA),Full Containment,681.0,1,681.0
Brooklyn,1,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,633.0,1,633.0
Bronx,11,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,577.0,1,577.0
Brooklyn,Cellar,New York City Housing Authority (NYCHA),DEP Variance,525.0,1,525.0
Brooklyn,Cellar,Holy Cross RC Church,Interior Foam,425.0,1,425.0
Bronx,Sub-Bas,NYC School Construction Authority (NYCSCA),DEP Variance,300.0,2,150.0
Brooklyn,2,New York City Housing Authority (NYCHA),Exterior Vertical Surface,274.0,1,274.0
Manhattan,5th,Teachers College at Columbia University,Full Containment,210.0,1,210.0
Queens,Cellar,Clearview Gardens Corporation,Tent,190.0,1,190.0
Manhattan,Sub-bsmt,SL Green Realty Corp.,Full Containment,180.0,1,180.0
Queens,2st Floor,Queensboro Tower LLC,Interior Foam,140.0,1,140.0
Manhattan,05,Brookfield Properties,DEP Variance,110.0,2,55.0
Manhattan,8th Floor,305 West End Property LLC,DEP Variance,48.0,1,48.0
Brooklyn,basement,Leon Goldenberg,Tent,45.0,1,45.0
Bronx,1st Floor,New York Public Library,DEP Variance,31.0,1,31.0
Bronx,1st Floor,NYC School Construction Authority (NYCSCA),Tent,25.0,1,25.0
Manhattan,12th Floor,"Scott Landesman, Trustee of 145 CPW UWS Trust",Tent,20.0,1,20.0
Brooklyn,1ST FLR,New York City Housing Authority (NYCHA),Tent,18.0,1,18.0
Manhattan,1st Flr,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,14.0,2,7.0
Manhattan,3rd Flr,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,14.0,2,7.0
Brooklyn,9,Pratt Institute,Tent,12.0,2,6.0
Manhattan,15th,New York City Housing Authority (NYCHA),Exterior Vertical Surface,10.0,2,5.0
Manhattan,15th,Mount Sinai West,Exterior Vertical Surface,10.0,2,5.0
Brooklyn,12th,New York City Housing Authority (NYCHA),Tent,9.0,1,9.0
Brooklyn,5,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0,1,8.0
Brooklyn,3rd,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0,2,4.0
Bronx,Basement,New York City Housing Authority (NYCHA),Exterior Vertical Surface,6.0,1,6.0
Bronx,2nd,New York City Housing Authority (NYCHA),DEP Variance,4.0,1,4.0
Manhattan,23,"Silverstein Properties, Inc.",Exterior Vertical Surface,4.0,1,4.0
Brooklyn,5.5,"Consolidated Edison   Company of NY, Inc.",Exterior Foam,4.0,1,4.0
Manhattan,2,17 and 24 Corporation,DEP Variance,4.0,1,4.0
