plansubmitdate,selfserviceoroperator,requeststatus,noofbicyclerequested,tenantstreetname,noofbicycleaccomodate
2010-05-16,,Pending,1,Madison Ave.,
,,Hold,20,Third Avenue,
1999-02-10,OPERATOR,Pending,1,Third Avenue,
2011-05-24,,Pending,5,Third AVenue,
,,Hold,6,Times Square,
,,Pending,1,Times Square,
,,Hold,20,metro tech center,
1999-02-10,,Pending,2,rockefeller plaza,
1999-02-10,,Pending,1,William Street,
1999-02-10,,Pending,1,William Street,
1999-02-10,,Pending,1,William Street,
,,Hold,2,3rd Avenue,
1999-02-10,,Pending,3,Ave of the Americas,
,,Hold,3,East 25th Street,
2012-06-10,,Pending,20,5th Avenue,
2012-07-21,,Pending,1,5th Avenue,
,,Hold,10,East 42nd St,The attached parking location can accommodate 36 bicycles with expansion.
,,Hold,3,East 42nd St,The attached parking location can accommodate 36 bicycles with expansion.
2013-01-24,,Pending,10,Lexington Avenue,
,,Hold,6,Lexington Avenue,
,,Hold,6,Lexington Avenue,
2012-08-10,,Pending,8,West 31st Street,
1999-02-10,,Pending,10,West 54th Street,
1999-02-10,,Pending,20,West 55th street,
1999-02-10,,Pending,4,AVenue of the Americas,
,,Hold,1,AVenue of the Americas,
1999-02-10,,Pending,20,East 28th Street,
,,Hold,6,Lexington Ave.,
,,Hold,2,Third Ave,
,,Hold,4,West 55th Street,
,,Hold,4,West 55th Street,
,2,Hold,3,Water St,TEst
,,Hold,2,fifth ave,
,,Hold,25,Fifth Avenue,
,,Hold,25,Fifth Avenue,
2011-05-25,,Pending,20,Fifth Avenue,
,,Hold,10,Park Avenue South,
2012-06-29,,Pending,1,3 ave,
2011-06-07,,Pending,10,Avenue of the Americas,
,,Hold,8,Avenue of the Americas,
,,Hold,8,Avenue of the Americas,
,,Hold,10,E. 42nd St.,
,,Hold,3,E. 42nd St.,
2011-05-09,,Pending,4,Madison Ave,
1999-02-10,,Pending,2,Park Ave.,
2010-08-04,,Pending,5,Park Avenue,
1999-02-10,,Pending,4,Park Avenue,
1999-02-10,,Pending,1,Park Avenue,Fifteen
1999-02-10,,Pending,1,Seventh Avenue,
,,Hold,1,court street,
,,Hold,6,Broadway,
1999-02-10,,Pending,2,Broadway,
,,Pending,1,Broadway,
2010-07-07,,Pending,40,E46 Street,
2010-07-07,,Pending,6,E46 Street,
,,Hold,3,East 42nd Street,
,,Hold,3,East 42nd Street,
1999-02-10,,Pending,1,East 42nd Street,
,,Hold,4,W 55th Street,
,,Hold,10,West 42nd Street,
,,Hold,10,West 42nd Street,
1999-02-10,,Pending,2,3rd Ave,
,,Hold,4,East 16th St,
1999-02-10,,Pending,1,East 40th Street,Fifteen
1999-02-10,,Pending,1,Wall Street,
,,Hold,5,West 18 street,
