fact_column,total_dimension1,average_dimension2,elevator_doorfeatures,elevator_type,elevator_landing,glass_hoistway
-Modification to the existing controller to install Door Position Monitoring System (DPM) as per req,24.0,0.0,Interlocks,Passenger,6,False
"NEW CONTROLLER,DLM,ROPE GRIPPERS, NEW GOVERNOR TENSION SHEAVE,GOVERNOR CABLE,NEW THIC PACKAGE (track",33.25,100.0,Interlocks,Passenger,12,False
Install new Door Lock Monitoring.,20.0,0.0,Locks & Contacts,Passenger,7,False
Install hardware modifications to elevator control system to meet the door lock monitoring requireme,25.4,375.0,Interlocks,Passenger,C-PH,False
Install new Door Lock Monitoring,29.08,0.0,Vision Panel,Passenger,7,False
"New controller, hoist machine, rope grippers, motor room and hoist way wiring, switch & GFI Type rec",16.63,170.0,Interlocks,Passenger,17,False
Install a system to monitor and prevent the Automatic operation of passenger elevators with faulty d,31.27,360.0,Interlocks,Passenger,15,False
Filing this application to furnish and install a new software/hardware to existing controller to pro,29.23,155.0,Interlocks,Passenger,12,False
PROVIDE NEW DOOR LOCK MONITORING SYSTEM PER SECTION 3.10.12 OF CHAPTER K3 OF APPENDIX K OF THE NEW Y,33.53,0.0,Interlocks,Passenger,"L,1-6",False
Install new Door Lock Monitoring.,24.65,400.0,Interlocks,Passenger,38,False
Furnish and install components and software providing Door Monitor Circuitry to existing controller.,29.25,60.0,Interlocks,Passenger,6,False
Installation of door lock monitoring system. All work to conform to Safety Code for Elevators and Es,32.81,250.0,Interlocks,Passenger,"B,L,M THRU 12",False
Installation of emergency brakes as per 3.8.4.1 of K3. Installation of new controllers and drives. R,25.28,280.0,Interlocks,Passenger,"LL, L, 11-21",False
F/I ONE NEW POWER UNIT. ABOVE ITEMS TO REPLACE EXISTING IN SAME LOCATION AS EXISTING.  ALL WORK SHAL,28.33,0.0,Interlocks,Passenger,1-2-3,False
Modification to the existing controller to install Door Position Monitoring System (DPM) as per requ,0.0,0.0,Interlocks,Passenger,5,False
Furnish and install new door lock monitoring unit.  All tests and inspections must be performed as p,26.35,5.0,Interlocks,Passenger,7,False
"FURNISH AND INSTALL THE FOLLOWING: HALL STATIONS-ALL LANDING SERVED 8.7.2.28, CAR STATION 8.7.2.28,",23.5,0.0,Interlocks,Passenger,6,False
Modernization of device: Furnish and install the following new equipment:  car door contacts 8.7.2.1,40.44,250.0,Interlocks,Passenger,11,False
Install new Door Lock Monitoring.,20.13,0.0,Interlocks,Passenger,10,False
Provide door lock monitoring system to meet NYC Code requirements.  All work to comply with  A17.3 o,15.33,0.0,Locks & Contacts,Passenger,4,False
,,,,Passenger,,
"REGROOVE TRACTION SHEAVE ALL WORK TO COMPLY WITH ASME A17.1-2013 PART 2, SAFETY CODE FOR ELEVATORS A",31.89,0.0,Interlocks,Passenger,16,False
Provide door lock monitoring system to meet NYC Code requirements.  All work to comply with  A17.3 o,24.08,0.0,Interlocks,Passenger,6,False
INSTALLING SYSTEM TO MONITOR AND PREVENT AUTOMATIC OPERATION OF ELEVATOR WITH FAULTY DOOR CONTACTS C,44.89,0.0,Interlocks,Passenger,7,False
"Replacing Cab Interior Finishes, not to exceed 5% of the total car weight.  All work to be done per",24.44,0.0,Interlocks,Passenger,6,False
Installation of door lock monitoring system. All work to conform to Safety Code for Elevators and Es,23.14,0.0,Interlocks,Passenger,"B, 1-4",False
New door position monitoring device 3.10.12,30.22,0.0,Interlocks,Passenger,"L,2-6,R",False
Provide New Door Lock Monitoring System per Section 3.10.12 of chapter K3 of Appendix K of the New Y,48.75,130.0,Interlocks,Passenger,"B,L,OR,2-11",False
Provide door lock monitoring system to meet NYC Code requirements.  All work to comply with  A17.3 o,99.91,0.0,Interlocks,Passenger,2,False
"INSTALL NEW 2:1 UNDERSLUNG MRL PASSENGER ELEVATOR PER ASME A17.1-2005S, SECTION 2, CHAPTER 30, OF 20",37.78,123.0,Interlocks,Passenger,"C, B, 1-8, R",False
Furnish and install one (1) Inclined Wheelchair lift as detailed in the attached drawings. All work,10.89,,Self Closing,,,
DOOR LOCK MONITOR -All work to comply with ASME A17.1-2000 with supplement A17.1a-02 & A17.10-03 as,17.67,0.0,Interlocks,Passenger,7,False
F.& I. New Instantaneous Car Safety per code Section 8.7.2.18.1. All work to comply with ASME A17.1-,28.33,0.0,Interlocks,Passenger,"L,2,3,4,5",False
Provide New Door Lock Monitoring System per Section 3.10.12 of chapter K3 of Appendix K of the New Y,21.5,0.0,Interlocks,Passenger,"B, 1-6",False
"To comply with ASME A17.3 of 2002, as modified by Chapter K3 of Appendix K Section 3.10.12 of the Ne",20.71,0.0,Interlocks,Passenger,9,False
"FURNISH AND INSTALL THE FOLLOWING: HALL STATIONS-ALL LANDING SERVED, CAR STATION 8.7.3.31.8, POWER U",24.08,0.0,Interlocks,Passenger,6,False
Furnish and install a new gearless traction (MRL type) as per attached drawings. All work to comply,25.0,0.0,Interlocks,Passenger,"C,*1,2,3,4",False
Pin doors on the 37th floor; remove from service for this device. All work to comply with ASME A17.1,42.25,985.0,Interlocks,Passenger,L-80,False
Furnish & install one traction passenger elevator (MRL). All work to comply with Chapter K4: Modific,31.67,18.0,Interlocks,Passenger,3,False
Remove device # 1P37080 and permanently discontinued as per NYC appendix K rule 8.11.14.1.2 Test / i,24.31,0.0,Interlocks,Passenger,"1,2",False
"F.& I. NEW STEP CHAIN E STOP BUTTON ASSEMBLY, HANDRAIL REVERSING CHAIN ASSEMBLIES & HANDRAILS, ALL R",,,,Escalator,,
