work_description,item_quantity,floor_id,floor_kva,floor_kw,fee_amount,rank,dense_rank
Floor Descriptions,8.0,3A934D7E-5D22-E811-8117-005056B627E4,0,0,2.0,1,1
Floor Descriptions,29.0,91BCA85D-7C21-E811-8117-005056B627E4,0,0,7.25,1,1
Floor Descriptions,205.0,D77CDDDF-3AC7-E811-811B-005056B627E4,0,0,51.25,1,1
Floor Descriptions,146.0,F78C27F6-0B5A-E911-8120-005056B627E6,0,0,36.5,1,1
Floor Descriptions,47.0,FFEC446D-ED44-E811-8117-005056B627E4,0,0,11.75,1,1
Floor Descriptions,157.0,FFD511FC-252A-E811-8117-005056B627E4,0,0,39.25,1,1
Floor Descriptions,242.0,190FF191-3F17-E811-8117-005056B627E4,0,0,60.5,1,1
Floor Descriptions,242.0,190FF191-3F17-E811-8117-005056B627E4,0,0,60.5,1,1
Floor Descriptions,497.0,FFC3AABE-8D55-E911-8120-005056B627E4,0,153,124.25,1,1
Floor Descriptions,3742.0,DE7F7D43-0568-E811-8119-005056B627E6,0,0,935.5,1,1
Floor Descriptions,3742.0,DE7F7D43-0568-E811-8119-005056B627E6,0,0,935.5,1,1
Floor Descriptions,3742.0,DE7F7D43-0568-E811-8119-005056B627E6,0,0,935.5,1,1
Floor Descriptions,3742.0,DE7F7D43-0568-E811-8119-005056B627E6,0,0,935.5,1,1
Floor Descriptions,251.0,BF3D7914-FADD-E811-811A-005056B627E6,20,0,62.75,1,1
Floor Descriptions,20.0,690C9775-5721-E811-8117-005056B627E4,0,0,5.0,1,1
Floor Descriptions,98.0,FFC09EAC-F153-E911-8120-005056B627E4,0,0,24.5,1,1
Floor Descriptions,169.0,FF90011B-0D52-E911-8120-005056B627E4,0,0,42.25,1,1
Floor Descriptions,72.0,00176498-4302-E911-811C-005056B627E4,0,0,18.0,1,1
Floor Descriptions,72.0,00176498-4302-E911-811C-005056B627E4,0,0,18.0,1,1
Floor Descriptions,93.0,002BF73A-F319-E911-811D-8CFAEDA547D3,0,0,23.25,1,1
Service Entrance and Feeder Conductors. List Each Set,2.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Boiler Controls,1.0,0,0,0,2280.0,1,1
Panels,5.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,4.0,0,0,0,2280.0,1,1
Panels,4.0,0,0,0,2280.0,1,1
Service Switches,2.0,0,0,0,2280.0,1,1
Panels,29.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,1.0,0,0,0,2280.0,1,1
Panels,4.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,15.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,1.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,2.0,0,0,0,2280.0,1,1
Service Switches,2.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Panels,4.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Panels,2.0,0,0,0,2280.0,1,1
Panels,18.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,43.0,0,0,0,2280.0,1,1
Panels,1.0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,4.0,0,0,0,2280.0,1,1
Service Switches,1.0,0,0,0,2280.0,1,1
Floor Descriptions,28.0,FF0E544E-A0FF-E811-811C-005056B627E4,0,0,7.0,1,1
Floor Descriptions,28.0,FF0E544E-A0FF-E811-811C-005056B627E4,0,0,7.0,1,1
Floor Descriptions,160.0,FF9E8962-17DD-E811-811A-005056B627E6,0,0,40.0,1,1
