bronx_cooperatives_comparable_properties_address,category,count,avg_value,total_value,max_value
"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",medium income,1,1485000.0,1485000.0,1485000
"{'latitude': '40.886696758224', 'longitude': '-73.909690411599', 'human_address': '{""address"": ""3601 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",medium income,1,1329365.0,1329365.0,1329365
"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,411720.0,411720.0,411720
"{'latitude': '40.879047623611', 'longitude': '-73.916693498923', 'human_address': '{""address"": ""609 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,866250.0,866250.0,866250
"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,409530.0,409530.0,409530
"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,280791.0,280791.0,280791
"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,184647.0,184647.0,184647
"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",high income,1,6063200.0,6063200.0,6063200
"{'latitude': '40.8827465541', 'longitude': '-73.889400427016', 'human_address': '{""address"": ""3975 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",high income,1,3663456.0,3663456.0,3663456
"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,652016.0,652016.0,652016
"{'latitude': '40.888557878984', 'longitude': '-73.915598599857', 'human_address': '{""address"": ""3750 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",medium income,1,1819778.0,1819778.0,1819778
"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",high income,1,2398500.0,2398500.0,2398500
"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,178623.0,178623.0,178623
"{'latitude': '40.84872487509', 'longitude': '-73.912729781876', 'human_address': '{""address"": ""1780 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",low income,1,292905.0,292905.0,292905
"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",high income,1,2739200.0,2739200.0,2739200
