neighborhood,nta,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_year_built,total_dimension1,average_dimension2
ROCKAWAY PARK,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,56.0,14.04,1963,48.0,56.0
FLUSHING-NORTH,Flushing                                                                   ,46.6,12.4,1962,154.0,46.6
JAMAICA,Jamaica                                                                    ,41.6,11.8,1962,89.0,41.6
BAYSIDE,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,14.52,1957,96.0,58.0
DOUGLASTON,Douglas Manor-Douglaston-Little Neck                                       ,41.4,11.75,1964,89.0,41.4
JACKSON HEIGHTS,Jackson Heights                                                            ,38.7,11.0,1956,114.0,38.7
BAYSIDE,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,14.57,1961,240.0,58.0
ASTORIA,Astoria                                                                    ,47.5,12.64,1971,26.0,47.5
MIDDLE VILLAGE,Rego Park                                                                  ,55.0,14.0,1963,96.0,55.0
LITTLE NECK,Douglas Manor-Douglaston-Little Neck                                       ,42.3,12.0,1952,168.0,42.3
FLUSHING-NORTH,Flushing                                                                   ,48.3,12.85,1966,79.0,48.3
REGO PARK,Forest Hills                                                               ,63.0,15.4,1962,126.0,63.0
FLUSHING-NORTH,Flushing                                                                   ,39.1,11.1,1937,175.0,39.1
ELMHURST,Elmhurst                                                                   ,47.3,12.6,1959,69.0,47.3
BRIARWOOD,Briarwood-Jamaica Hills                                                    ,54.0,13.7,1955,256.0,54.0
KEW GARDENS,Kew Gardens                                                                ,38.8,11.0,1928,64.0,38.8
FOREST HILLS,Forest Hills                                                               ,56.0,14.1,1930,104.0,56.0
FOREST HILLS,Forest Hills                                                               ,48.8,13.0,1960,47.0,48.8
MIDDLE VILLAGE,Rego Park                                                                  ,56.0,14.0,1964,68.0,56.0
CORONA,Corona                                                                     ,48.0,12.75,1962,225.0,48.0
FOREST HILLS,Forest Hills                                                               ,66.0,16.2,1950,48.0,66.0
BEECHHURST,Whitestone                                                                 ,40.5,11.5,1958,32.0,40.5
FLUSHING-NORTH,Murray Hill                                                                ,51.0,13.5,1962,99.0,51.0
SUNNYSIDE,Hunters Point-Sunnyside-West Maspeth                                       ,60.0,15.0,1942,54.0,60.0
HOWARD BEACH,Lindenwood-Howard Beach                                                    ,23.62,7.7,1958,80.0,23.62
CORONA,North Corona                                                               ,50.0,13.3,1953,301.0,50.0
FLUSHING-NORTH,Murray Hill                                                                ,49.2,13.08,1951,22.0,49.2
FLORAL PARK,Glen Oaks-Floral Park-New Hyde Park                                        ,42.4,12.0,1950,120.0,42.4
FOREST HILLS,Forest Hills                                                               ,62.0,15.25,1949,84.0,62.0
SUNNYSIDE,Hunters Point-Sunnyside-West Maspeth                                       ,65.0,16.0,1932,73.0,65.0
FOREST HILLS,Forest Hills                                                               ,57.0,14.5,1940,121.0,57.0
HOWARD BEACH,Lindenwood-Howard Beach                                                    ,41.7,11.82,1962,151.0,41.7
