site_id,phone_status_date,tablet_status_date,phone_status,wifi_status,kiosk_type,tablet_status,wifi_status_date
bk-05-145943,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-05-119607,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
bk-05-145932,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-09-127716,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-01-138237,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-18-127156,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
bx-02-108937,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-05-152147,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
bx-06-146096,,,,up,Link 1.0,,2024-09-26 11:00:00.475
mn-03-134173,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
mn-04-108109,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,down,2025-12-24 22:00:00.528
bx-01-145819,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-02-123586,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-03-123791,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-04-134450,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-02-118974,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-07-153911,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,down,2025-12-24 22:00:00.528
mn-02-120512,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-04-139460,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-02-126565,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-01-131467,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-07-145865,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-13-145054,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
bk-16-150795,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-16-160026,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
mn-04-142001,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-07-114037,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-02-126505,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-03-126644,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-05-126737,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-17-127012,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-03-123344,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,up,2025-12-24 22:00:00.528
mn-04-136316,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-05-122633,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-06-gf34904,,,,up,Link 5G,up,
bx-04-119157,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bk-02-108355,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-06-133338,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-03-123260,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-02-138004,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-05-123155,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-05-146097,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-07-119724,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 5G,down,2025-12-24 22:00:00.528
mn-05-123077,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-07-119718,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
bx-07-145690,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-03-108162,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-04-136045,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
mn-04-140298,2025-12-24 22:00:00.528,2025-12-24 22:00:00.528,up,up,Link 1.0,up,2025-12-24 22:00:00.528
