lotid,area,category,count,avg_value,total_value,max_value
134747,39.0,high tonnage,1,85.0,85.0,85.0
56436,,medium tonnage,1,47.4,47.4,47.4
167219,,medium tonnage,1,34.5,34.5,34.5
131159,39.0,low tonnage,1,3.0,3.0,3.0
75626,39.0,low tonnage,1,1.5,1.5,1.5
211158,0.0,low tonnage,1,1.49,1.49,1.49
182361,0.0,low tonnage,1,1.44,1.44,1.44
75266,39.0,high tonnage,1,194.1,194.1,194.1
122541,39.0,high tonnage,2,77.83,155.66,77.83
185409,0.0,low tonnage,1,0.2,0.2,0.2
8132,,high tonnage,1,308.2,308.2,308.2
182954,0.0,low tonnage,1,0.02,0.02,0.02
163786,39.0,low tonnage,1,5.0,5.0,5.0
49531,40.0,low tonnage,1,3.2,3.2,3.2
31105,39.0,low tonnage,1,0.0,0.0,0.0
40251,39.0,low tonnage,2,2.42,4.84,2.42
10285,39.0,low tonnage,1,0.25,0.25,0.25
161575,39.0,low tonnage,1,2.0,2.0,2.0
177491,0.0,low tonnage,1,2.6,2.6,2.6
130151,40.0,high tonnage,1,299.93,299.93,299.93
101001,40.0,high tonnage,2,152.9,305.8,152.9
204033,0.0,low tonnage,1,0.0,0.0,0.0
134136,39.0,medium tonnage,1,35.89,35.89,35.89
45939,39.0,low tonnage,1,0.0,0.0,0.0
36588,39.0,low tonnage,1,7.0,7.0,7.0
112453,39.0,medium tonnage,1,16.2,16.2,16.2
51402,39.0,low tonnage,2,0.0,0.0,0.0
210567,0.0,low tonnage,1,0.03,0.03,0.03
41841,39.0,low tonnage,1,0.0,0.0,0.0
32165,,high tonnage,1,598.22,598.22,598.22
181903,0.0,low tonnage,1,0.65,0.65,0.65
152654,39.0,low tonnage,1,10.0,10.0,10.0
126197,39.0,low tonnage,1,8.0,8.0,8.0
107635,39.0,medium tonnage,1,25.0,25.0,25.0
147281,39.0,medium tonnage,1,15.0,15.0,15.0
79234,40.0,low tonnage,1,0.25,0.25,0.25
148982,39.0,low tonnage,1,5.0,5.0,5.0
13967,40.0,low tonnage,1,2.91,2.91,2.91
106434,,medium tonnage,1,45.5,45.5,45.5
3501,39.0,medium tonnage,1,17.32,17.32,17.32
80421,39.0,low tonnage,1,2.0,2.0,2.0
109674,39.0,low tonnage,1,2.1,2.1,2.1
28725,40.0,low tonnage,1,1.47,1.47,1.47
67726,39.0,low tonnage,1,0.5,0.5,0.5
94024,39.0,low tonnage,1,0.0,0.0,0.0
7338,39.0,low tonnage,1,2.0,2.0,2.0
207691,0.0,low tonnage,1,0.0,0.0,0.0
209541,0.0,low tonnage,1,9.41,9.41,9.41
111750,,high tonnage,1,448.34,448.34,448.34
66271,39.0,low tonnage,1,0.0,0.0,0.0
