inspectionrequestid,t4_inspectionrequestid,originaloverride,lotentrydate,requeststatusid,noofaddresses,detailentrydate,lotstatusid,rank,dense_rank
7804,7804,0,,1048,0.0,1999-04-06 10:21:48,702,1,1
10050,10050,0,,1048,,2000-04-10 10:59:07,702,1,1
19547,19547,0,,1048,0.0,2001-07-17 08:14:05,702,1,1
133367,133367,0,2015-11-23 08:46:23,1048,,2015-12-11 09:37:38,702,1,1
41956,41956,0,,1048,0.0,2004-08-31 14:40:50,702,1,1
40125,40125,0,,1048,0.0,2004-09-07 08:58:42,702,1,1
1747,1747,0,,1048,0.0,1998-04-09 12:45:39,702,1,1
54179,54179,0,,1048,0.0,2005-10-07 09:11:03,702,1,1
109990,109990,0,2012-03-28 14:49:34,1048,,2012-04-16 11:23:02,702,1,1
26940,26940,0,,1048,0.0,2002-10-07 09:52:43,702,1,1
82912,82912,0,,1048,0.0,2008-12-26 22:44:46,702,1,1
128240,128240,1,2015-01-02 11:14:35,1048,,2015-03-16 11:39:00,702,1,1
2990,2990,0,,1048,0.0,1998-04-14 11:03:03,702,1,1
17476,17476,0,,1048,0.0,2000-12-20 14:41:27,702,1,1
38338,38338,0,,1048,0.0,2004-02-17 14:33:10,702,1,1
55547,55547,0,,1048,0.0,2005-12-05 11:52:15,702,1,1
76632,76632,0,,1048,0.0,2008-04-23 14:29:57,702,1,1
19895,19895,0,,1048,0.0,2001-06-12 08:57:44,702,1,1
60794,60794,0,,1048,0.0,2006-08-14 14:17:19,702,1,1
60794,60794,0,,1048,0.0,2006-08-14 14:17:19,702,1,1
85733,85733,0,,1048,1.0,2009-05-07 14:42:54,702,1,1
105445,105445,0,2011-07-27 11:50:37,1048,,2011-08-30 12:48:19,702,1,1
27571,27571,0,,1048,0.0,2004-02-03 10:28:53,702,1,1
44331,44331,0,,1048,0.0,2004-10-07 11:24:01,702,1,1
58562,58562,0,,1048,0.0,2006-05-23 10:02:53,702,1,1
112082,112082,0,2012-06-27 12:54:48,1048,,2012-08-09 10:29:07,702,1,1
130187,130187,0,2015-07-10 09:43:15,1048,,2015-07-21 09:07:56,702,1,1
133674,133674,0,2015-12-16 11:13:58,1048,1.0,2016-01-19 10:31:12,702,1,1
77457,77457,0,,1048,1.0,2008-08-19 11:14:49,702,1,1
109510,109510,0,2012-03-02 13:49:10,1048,,2012-03-12 10:05:10,702,1,1
132645,132645,0,2015-10-05 12:42:29,1048,,2015-11-23 12:42:55,702,1,1
1870,1870,0,,1048,0.0,1998-06-01 11:24:54,702,1,1
1870,1870,0,,1048,0.0,1998-06-01 11:24:54,702,1,1
64175,64175,0,,1048,0.0,2007-01-18 08:48:45,702,1,1
67133,67133,0,,1048,0.0,2007-06-06 10:57:04,702,1,1
67133,67133,0,,1048,0.0,2007-06-06 10:57:44,702,1,1
12094,12094,0,,1048,0.0,1999-12-27 08:34:33,702,1,1
17037,17037,0,,1048,0.0,2000-10-17 14:22:56,702,1,1
17037,17037,0,,1048,0.0,2000-10-16 08:59:35,702,1,1
18280,18280,0,,1048,0.0,2001-05-14 14:56:51,702,1,1
25125,25125,0,,1048,0.0,2002-05-10 10:01:06,702,1,1
66183,66183,0,,1048,0.0,2007-05-07 09:16:34,702,1,1
86854,86854,0,,1048,0.0,2009-06-09 15:42:22,702,1,1
109079,109079,0,2012-02-03 10:22:45,1048,,2012-03-27 09:15:08,702,1,1
3382,3382,0,,1048,0.0,1998-05-26 09:34:32,702,1,1
8641,8641,0,,1048,0.0,2001-07-23 10:15:21,702,1,1
309,309,0,,1048,0.0,1998-03-09 15:53:11,702,1,1
30505,30505,0,,1048,0.0,2003-08-12 10:22:42,702,1,1
2270,2270,0,,1048,0.0,1998-09-08 15:58:38,702,1,1
4332,4332,0,,1048,0.0,1998-08-31 09:21:07,702,1,1
11783,11783,0,,1048,0.0,2000-03-28 10:45:19,702,1,1
24229,24229,0,,1048,0.0,2002-06-11 08:22:45,702,1,1
61742,61742,0,,1048,0.0,2006-09-19 09:34:40,702,1,1
96980,96980,0,,1048,0.0,2010-06-30 11:49:57,702,1,1
