city_council_district,nta,total,average,count
3,Clinton,13.0,4.333333333333333,3
3,SoHo-TriBeCa-Civic Center-Little Italy,0.0,0.0,1
3,Midtown-Midtown South,469.0,42.63636363636363,11
6,Upper West Side,22.0,22.0,1
3,Murray Hill-Kips Bay,315.0,78.75,4
6,Lincoln Square,420.0,140.0,3
1,West Village,400.0,200.0,2
2,Hudson Yards-Chelsea-Flatiron-Union Square,9.0,9.0,1
14,Mount Hope,67.0,67.0,1
4,Murray Hill-Kips Bay,137.0,68.5,2
1,SoHo-TriBeCa-Civic Center-Little Italy,131.0,32.75,4
10,Washington Heights North,30.0,30.0,1
3,Hudson Yards-Chelsea-Flatiron-Union Square,351.0,35.1,10
3,West Village,23.0,11.5,2
10,Marble Hill-Inwood,72.0,72.0,1
4,Midtown-Midtown South,85.0,85.0,1
2,Midtown-Midtown South,31.0,31.0,1
2,West Village,262.0,131.0,2
