type,location,location_1,coundist,bctcb2010,ntacode,total_coundist
Free,825 8 AVENUE,825 8 AVENUE,3.0,127.0,MN15,3.0
Free,1330 3 AVENUE,1330 3 AVENUE,4.0,128.0,MN40,4.0
Free,1 Dekalb Ave.,1 Dekalb Ave.,33.0,15.0,BK38,33.0
Free,675 3 AVENUE,675 3 AVENUE,4.0,88.0,MN19,4.0
Free,40 WEST 20 STREET,40 WEST 20 STREET,3.0,54.0,MN13,3.0
Free,304 5 AVENUE,304 5 AVENUE,39.0,135.0,BK37,39.0
Free,2135 BROADWAY,2135 BROADWAY,6.0,163.0,MN12,6.0
Free,2601 BROADWAY,2601 BROADWAY,6.0,187.0,MN12,6.0
Free,Times Square - 42nd Street,Times Square - 42nd Street,4.0,119.0,MN17,4.0
Free,431 6 AVENUE,431 6 AVENUE,39.0,153.0,BK37,39.0
Free,18th between 8th and 9th,18th between 8th and 9th,3.0,89.0,MN13,3.0
Free,101 EAST 29 STREET,101 EAST 29 STREET,2.0,72.0,MN20,2.0
Free,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,27.0,246.0,QN61,27.0
Free,Amphitheater,Amphitheater,9.0,198.0,MN34,9.0
Free,9 MURRAY STREET,9 MURRAY STREET,1.0,21.0,MN24,1.0
Free,2939 BROADWAY,2939 BROADWAY,7.0,205.0,MN09,7.0
Limited Free,Park Area at W63rd & Columbus,Park Area at W63rd & Columbus,6.0,149.0,MN14,6.0
Free,101 LAFAYETTE STREET,101 LAFAYETTE STREET,1.0,31.0,MN24,1.0
Free,777 7 AVENUE,777 7 AVENUE,4.0,131.0,MN17,4.0
Free,230 BERRY STREET,230 BERRY STREET,34.0,555.0,BK73,34.0
Limited Free,FRNT OF BASKET BALL COURT N/O E 170TH ST,FRNT OF BASKET BALL COURT N/O E 170TH ST,16.0,171.0,BX99,16.0
Free,181 St (1),181 St (1),10.0,271.0,MN35,10.0
Free,145 EAST 116 STREET,145 EAST 116 STREET,8.0,182.0,MN34,8.0
Free,301 WEST 57 STREET,301 WEST 57 STREET,3.0,139.0,MN15,3.0
Free,300 WEST 108 STREET,300 WEST 108 STREET,6.0,195.0,MN09,6.0
Free,116 St (6),116 St (6),8.0,182.0,MN34,8.0
Free,2306 FREDERICK DOUGLASS BOULEVARD,2306 FREDERICK DOUGLASS BOULEVARD,9.0,222.0,MN11,9.0
Free,948 3 AVENUE,948 3 AVENUE,38.0,18.0,BK32,38.0
Free,159 WEST 52 STREET,159 WEST 52 STREET,4.0,131.0,MN17,4.0
Limited Free,Beach 108 - Comfort Station and Beach,Beach 108 - Comfort Station and Beach,32.0,938.0,QN10,32.0
Free,172 EAST 24 STREET,172 EAST 24 STREET,2.0,68.0,MN21,2.0
Free,2848 BROADWAY,2848 BROADWAY,7.0,199.0,MN09,7.0
Free,36-35 33 STREET,36-35 33 STREET,26.0,55.0,QN68,26.0
Free,22 EAST 69 STREET,22 EAST 69 STREET,4.0,122.0,MN40,4.0
Free,219 WEST 100 STREET,219 WEST 100 STREET,7.0,187.0,MN12,7.0
Limited Free,North West side of Park,North West side of Park,28.0,148.0,QN54,28.0
Free,61 AVENUE OF PUERTO RICO,61 AVENUE OF PUERTO RICO,34.0,491.0,BK90,34.0
Free,1132 3 AVENUE,1132 3 AVENUE,4.0,120.0,MN40,4.0
Limited Free,Along Boardwalk and Beach,Along Boardwalk and Beach,50.0,11201.0,SI36,150.0
Free,3301 CHURCH AVE,3301 CHURCH AVE,40.0,818.0,BK95,40.0
Free,2 POWERS STREET,2 POWERS STREET,34.0,513.0,BK73,34.0
Free,pole 18: 111NS2ELe,pole 18: 111NS2ELe,9.0,186.0,MN11,9.0
Free,"90 Water Street, New York, NY 10005, USA","90 Water Street, New York, NY 10005, USA",1.0,7.0,MN25,1.0
Free,1197 SUTTER AVENUE,1197 SUTTER AVENUE,42.0,1196.0,BK82,42.0
Free,487 EAST 156 STREET,487 EAST 156 STREET,17.0,71.0,BX34,17.0
Limited Free,Skate Rental Area,Skate Rental Area,39.0,177.0,BK99,39.0
Free,Pole 49: 126NS2E8av,Pole 49: 126NS2E8av,9.0,224.0,MN03,9.0
Free,2943 BROADWAY,2943 BROADWAY,7.0,205.0,MN09,7.0
Free,211 ST ANN'S AVENUE,211 ST ANN'S AVENUE,8.0,25.0,BX39,8.0
Free,359 3 AVENUE,359 3 AVENUE,2.0,66.0,MN20,2.0
