trailerstate,endcity,total,average,count
,BROOKLYN,156664.0,156664.0,1
NJ,,434586.0,62083.71428571428,7
WA,,36500.0,36500.0,1
,MANHATTAN,316800.0,158400.0,2
PA,Queens,55000.0,55000.0,1
GA,BROOKLYN,56834.0,56834.0,1
NJ,Brooklyn,60000.0,60000.0,1
NY,Bronx,104100.0,52050.0,2
PA,brooklyn,53080.0,53080.0,1
NJ,MANHATTAN,608900.0,121780.0,5
NY,New York,65100.0,65100.0,1
ME,BROOKLYN,79000.0,79000.0,1
NY,,125950.0,41983.333333333336,3
ME,MASPETH,63300.0,63300.0,1
GA,New York,24350.0,24350.0,1
NJ,BROOKLYN,239660.0,119830.0,2
GA,Brooklyn,47000.0,47000.0,1
PA,Staten Island,67000.0,67000.0,1
PA,MANHATTAN,44197.0,44197.0,1
ME,MANHATTAN,164380.0,164380.0,1
NH,,45000.0,45000.0,1
PA,New York,46500.0,46500.0,1
PA,Brooklyn,53080.0,53080.0,1
PA,,193000.0,48250.0,4
GA,Queens,34900.0,34900.0,1
,Bronx,27500.0,27500.0,1
ME,THE BRONX,119000.0,119000.0,1
AL,,57000.0,57000.0,1
ME,,81000.0,40500.0,2
GA,MANHATTAN,75000.0,75000.0,1
ON,,33000.0,33000.0,1
