trailerstate,endzipcode,truckyear,applicationdate,startzipcode,startstate,endcity,overallwidth,rank,dense_rank
NJ,22222,1992,2022-04-05 18:40:17+08:00,10017,NY,,12.02,2,1
NJ,10017,1994,2022-12-13 23:00:51+08:00,11111,NY,MANHATTAN,13.08,1,2
PA,11222,1996,2023-03-20 20:14:36+08:00,11101,NY,Brooklyn,8.07,2,3
PA,11111,1996,2023-04-28 23:01:31+08:00,11111,NY,,8.06,5,3
PA,11222,1996,2021-09-27 18:53:18+08:00,11101,NY,brooklyn,8.07,2,3
PA,11101,1998,2022-01-04 19:11:37+08:00,11205,NY,Queens,8.07,2,4
NJ,10017,2000,2022-09-29 16:38:26+08:00,11111,NY,MANHATTAN,11.06,5,5
PA,10309,2006,2022-01-10 21:05:05+08:00,11205,NY,Staten Island,8.06,5,7
NY,11111,2006,2022-03-22 02:27:03+08:00,11111,NY,,10.07,1,7
ME,11378,2007,2022-12-08 02:55:03+08:00,11111,NY,MASPETH,10.06,1,8
ME,22222,2007,2023-09-29 19:26:09+08:00,11111,NY,MANHATTAN,10.0,2,8
,10002,2011,2022-05-31 17:40:08+08:00,11111,NY,MANHATTAN,9.1,1,9
NY,10001,2011,2023-04-25 00:48:25+08:00,7024,NY,New York,8.05,5,9
ME,11111,2014,2021-10-06 21:40:25+08:00,11111,NY,,8.06,5,11
NY,10465,2014,2021-09-10 17:25:25+08:00,11208,NY,Bronx,8.06,3,11
GA,10128,2014,2021-08-02 15:40:54+08:00,11354,NY,New York,8.06,1,11
NJ,22222,2015,2023-11-16 22:35:49+08:00,10017,NY,,11.1,4,12
NY,22222,2015,2022-10-04 01:37:40+08:00,11111,NY,,10.0,2,12
GA,11206,2015,2021-12-02 16:46:23+08:00,11354,NY,BROOKLYN,8.06,1,12
ON,22222,2016,2022-05-05 03:52:55+08:00,11111,NY,,8.06,1,13
NH,11111,2016,2021-11-15 21:23:03+08:00,10314,NY,,8.06,1,13
NY,22222,2016,2023-04-07 01:11:02+08:00,11111,NY,,8.06,3,13
GA,11222,2016,2022-07-09 00:16:54+08:00,11354,NY,Brooklyn,8.06,1,13
GA,10018,2016,2023-01-24 21:23:31+08:00,11354,NY,MANHATTAN,8.06,1,13
AL,22222,2018,2021-07-20 06:33:24+08:00,11111,NY,,8.06,1,14
PA,22222,2018,2022-06-24 23:21:46+08:00,11111,NY,,8.06,5,14
,10459,2018,2022-11-05 07:01:51+08:00,11372,NY,Bronx,8.05,4,14
NJ,22222,2019,2021-08-12 22:30:26+08:00,11111,NY,BROOKLYN,12.0,3,15
ME,11111,2019,2023-02-03 03:26:53+08:00,22222,NY,,8.06,5,15
,22222,2019,2023-05-18 00:35:24+08:00,11111,NY,MANHATTAN,9.1,1,15
NJ,10017,2020,2023-09-22 00:35:15+08:00,11111,NY,MANHATTAN,11.06,5,16
ME,11232,2020,2023-01-17 23:59:04+08:00,10407,NY,BROOKLYN,9.06,4,16
,22222,2020,2022-09-28 23:45:33+08:00,11111,NY,BROOKLYN,9.1,1,16
PA,11111,2021,2022-10-11 23:59:11+08:00,11111,NY,,12.07,1,17
GA,11105,2021,2022-04-19 21:06:12+08:00,11354,NY,Queens,8.0,5,17
PA,10013,2022,2022-03-22 20:44:26+08:00,11205,NY,MANHATTAN,8.06,5,18
WA,20000,2022,2023-03-01 02:03:23+08:00,20000,NY,,8.06,1,18
PA,11111,2023,2022-11-29 18:50:30+08:00,11217,NY,,8.06,5,19
ME,10455,2023,2023-04-28 00:13:58+08:00,11111,NY,THE BRONX,9.11,3,19
