t2_title,artwork_type1,material,record_count,total_amount,avg_amount,max_amount,min_amount
Mathematical Star,"Decorative pavement, mosaic",Bronze,3,6039.0,2013.0,2013,2013
Dancing Bear,Bas-relief,"Bronze, cast stone",4,7748.0,1937.0,1937,1937
Inside Out,Site-specific installation,Bronze,3,6042.0,2014.0,2014,2014
Timecast,Installation,Bronze,3,6036.0,2012.0,2012,2012
Dancing Bear,Bas-relief,Stone,12,23244.0,1937.0,1937,1937
Dancing Bear,Bas-relief,Bronze,4,7748.0,1937.0,1937,1937
Dancing Bear,Bas-relief,Marble,4,7748.0,1937.0,1937,1937
Little Dances,Sculpture,Bronze,3,5988.0,1996.0,1996,1996
Diagonal Sonata,Bas-relief sculpture,Bronze,3,6021.0,2007.0,2007,2007
Knights of Pythias Memorial,Statue,Granite,2,3922.0,1961.0,1961,1961
Wild Geese,Bas-relief roundel,"Bronze, cast stone",15,29040.0,1936.0,1936,1936
Dancing Bear,Statue,Stone,3,5811.0,1937.0,1937,1937
Tomorrow's Wind,Sculpture,Bronze,3,5970.0,1990.0,1990,1990
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Relief,"Bronze, granite",2,3800.0,1900.0,1900,1900
Eagles and Prey,Statue,"Bronze, granite",2,3700.0,1850.0,1850,1850
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Relief,Bronze,2,3800.0,1900.0,1900,1900
Wild Geese,Bas-relief roundel,Stone,45,87120.0,1936.0,1936,1936
Wild Geese,Bas-relief roundel,Bronze,15,29040.0,1936.0,1936,1936
Wild Geese,Bas-relief roundel,Marble,15,29040.0,1936.0,1936,1936
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Relief,Granite,2,3800.0,1900.0,1900,1900
City Employees War Memorial,Statue,"Iron, bronze, granite",2,3852.0,1926.0,1926,1926
Design Team Project,Installation,Bronze,3,5982.0,1994.0,1994,1994
