bin,total_tanks_per_bin
1001830.0,1.0
1083746.0,3.0
1053222.0,2.0
1029901.0,2.0
1075433.0,1.0
1036185.0,8.0
3321834.0,1.0
1084781.0,2.0
1083860.0,3.0
3337808.0,2.0
1015782.0,1.0
1047704.0,1.0
1015862.0,14.0
3392969.0,4.0
1030257.0,1.0
1042466.0,2.0
1028511.0,2.0
1085936.0,1.0
1046824.0,1.0
1076684.0,4.0
1001652.0,1.0
4312067.0,1.0
1048403.0,2.0
1030903.0,24.0
3426373.0,4.0
1013711.0,1.0
1083348.0,1.0
1014511.0,2.0
1076145.0,2.0
1064381.0,1.0
1041959.0,1.0
1043139.0,1.0
1087518.0,2.0
1008894.0,1.0
1016929.0,3.0
1009431.0,3.0
1036482.0,16.0
1036466.0,2.0
1043221.0,8.0
1040076.0,1.0
3000265.0,1.0
1050543.0,2.0
1087679.0,3.0
1080768.0,2.0
1079998.0,5.0
1030390.0,3.0
2051300.0,1.0
1044859.0,1.0
1021900.0,1.0
1019122.0,4.0
