ad_id,stat_time_hour,cost_per_conversion,cpc,video_play_actions,conversion_rate,video_views_p_75,result,video_views_p_50,impressions,comments,real_time_cost_per_result,conversion,real_time_result,video_views_p_100,shares,real_time_conversion_rate,cost_per_secondary_goal_result,secondary_goal_result_rate,clicks,cost_per_1000_reached,video_views_p_25,reach,real_time_cost_per_conversion,profile_visits_rate,average_video_play,profile_visits,cpm,ctr,video_watched_2_s,follows,result_rate,video_watched_6_s,secondary_goal_result,cost_per_result,average_video_play_per_user,real_time_result_rate,spend,likes,real_time_conversion,total_purchase_value,total_sales_lead_value,_fivetran_synced
2,2021-09-15 10:00:00,0,0,22,0,2,0,2,23,0,0,0,0,0,0,0,-,-,0,0,22,0,0,0,2.22,0,32.22,0,2,0,0,22,-,0,0,0,2.22,0,0,0,0,2021-09-15 15:56:34.862
3,2021-09-15 10:00:00,0,0,33,0,0,0,0,22,0,0,0,0,0,0,0,-,-,0,0,3,0,0,0,2.22,0,2.22,0,2,0,0,2,-,0,0,0,0.22,0,0,0.01,0.01,2021-09-15 15:56:34.953
4,2021-09-15 10:00:00,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,2021-09-15 15:56:34.923
1,2021-09-15 10:00:00,0.22,0.22,22,222,2,2,2,22,0,0.22,2,2,2,0,200,-,-,2,0,2,0,0.22,0,2.22,0,22.22,2.22,2,0,100,2,-,0.22,0,222,0.22,2,2,0,0,2021-09-15 15:56:34.950
4,2021-08-26 03:49:00,0.2,0.25,47,313,94,1,7,12,14.27,0.17,1,2,22,30.57,100,-,-,1,40.01,73,14.93,0.22,87.98,2.2,-12.79,29.86,2.84,11,8.03,50,111,-,0.14,69,318,0.19,2,1,26.45,91.76,2021-08-22 03:30:34
3,2021-10-09 00:48:00,53.3,29.56,56,10.9,52,32.15,41,2,79.29,26.12,-28.15,-83.03,83,-12.4,-62.11,-,-,-94.93,99.28,53,-2.15,-87.4,8.11,1.79,6.79,66.85,-10.14,5,-92.59,-88.79,115,-,-18.9,28,61.42,33.46,-8.33,35.62,74.85,-70.21,2021-09-22 23:55:34
2,2021-10-02 14:31:00,30.77,-5.76,113,-90.84,92,29.76,4,15,-90.01,-38.53,58.74,-8.76,24,67.07,-87.21,-,-,-0.57,59.84,51,-87.38,-59.47,-32.53,2.97,47.59,29.06,-75.84,90,15.19,-72.53,50,-,18.62,43,-87.36,1.72,51.51,-66.39,-26.01,-67.0,2021-09-01 09:58:34
4,2021-10-06 06:39:00,-24.77,-68.45,96,-83.86,3,-64.12,14,26,18.75,-43.25,38.7,58.45,63,38.47,-58.77,-,-,-17.59,87.62,101,38.33,19.25,43.44,2.47,-82.4,2.94,-39.76,56,-99.09,-52.87,38,-,23.78,98,97.36,0.22,-7.16,25.29,0.01,0.01,2021-08-23 20:39:34
19,2021-08-27 15:42:00,0.31,0.12,80,174,58,1,81,28,51.68,0.12,2,2,25,-68.39,105,-,-,2,44.28,98,15.95,0.2,49.42,3.1,-53.99,13.56,1.62,33,47.55,136,71,-,0.13,75,218,0.31,1,2,-9.0,-22.53,2021-08-25 06:42:34
77,2021-09-02 16:21:00,-74.56,38.44,41,-43.88,17,70.33,61,20,52.07,-56.03,-40.97,-68.64,84,90.55,81.12,-,-,-17.66,4.35,50,18.32,67.4,-44.17,2.73,47.24,1.66,-34.54,77,-55.52,85.5,42,-,-16.45,6,-91.99,0.21,53.72,-93.28,0.01,0.01,2021-10-07 14:48:34
