ad_group_id,date,_fivetran_synced,campaign_bidding_strategy,clicks,cost,impressions
501,2022-12-03,2022-12-13 11:35:56.905,legacy,0,0,88
501,2022-12-04,2022-12-13 11:35:56.908,legacy,0,0,111
501,2022-12-01,2022-12-13 11:35:56.899,legacy,0,0,252
501,2022-11-25,2022-12-13 11:31:52.129,legacy,0,0,289
501,2022-12-11,2022-12-13 17:20:57.42,legacy,2,2.01,502
501,2022-11-18,2022-12-13 11:26:56.575,legacy,1,0.54,163
501,2022-12-02,2022-12-13 11:35:56.902,legacy,0,0,116
501,2022-11-19,2022-12-13 11:26:56.577,legacy,0,0,232
501,2022-11-24,2022-12-13 11:31:52.126,legacy,1,1.45,267
501,2022-12-07,2022-12-13 17:20:57.402,legacy,2,3.76,335
