source_relation,ad_id,ad_group_id,advertised_asin,advertised_sku,campaign_budget_amount,campaign_budget_currency_code,campaign_budget_type,campaign_id,clicks,cost,date_day,impressions,purchases_30_d,sales_30_d
"",8108,501,,,250,USD,DAILY_BUDGET,5555,2,2.53,2022-12-10,166,,
"",8108,501,,,250,USD,DAILY_BUDGET,5555,3,5.29,2022-12-06,75,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,3,3.79,2022-08-20,1310,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,3,9.34,2022-08-24,1262,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,4,4.95,2022-08-16,1450,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,62,172.54,2022-07-12,42144,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,1,1.03,2022-08-19,1359,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,2,2.95,2022-08-17,1345,,
"",77,421,,,2000,USD,DAILY_BUDGET,2187,68,179.19,2022-07-13,60317,,
"",88,421,,,2000,USD,DAILY_BUDGET,2187,26,50.25,2022-07-13,6111,,
