ad_group_id,campaign_id,date,keyword_id,_fivetran_synced,ad_keyword_status,campaign_budget_amount,campaign_budget_currency_code,campaign_budget_type,clicks,cost,impressions,keyword_bid,keyword_type,match_type,targeting
421,2187,2022-07-12,9101112,2022-10-14 12:07:33.105,ENABLED,2000,USD,DAILY_BUDGET,861,1723.1,239619,6,EXACT,EXACT,x wing parts
421,2187,2022-08-21,9101112,2022-10-14 11:39:04.36,ENABLED,2000,USD,DAILY_BUDGET,17,24.05,12960,6,EXACT,EXACT,x wing parts
421,2187,2022-08-19,9101112,2022-10-14 11:39:03.769,ENABLED,2000,USD,DAILY_BUDGET,23,63.7,10662,6,EXACT,EXACT,x wing parts
421,2187,2022-08-24,9101112,2022-10-14 11:40:58.049,ENABLED,2000,USD,DAILY_BUDGET,19,52.46,9931,6,EXACT,EXACT,x wing parts
421,2187,2022-07-14,9101112,2022-10-14 12:07:33.194,ENABLED,2000,USD,DAILY_BUDGET,6,15.88,3036,6,EXACT,EXACT,x wing parts
421,2187,2022-08-20,9101112,2022-10-14 11:39:04.144,ENABLED,2000,USD,DAILY_BUDGET,19,29.26,11740,6,EXACT,EXACT,x wing parts
421,2187,2022-08-22,9101112,2022-10-14 11:39:04.566,ENABLED,2000,USD,DAILY_BUDGET,18,43.88,14661,6,EXACT,EXACT,x wing parts
421,2187,2022-08-12,9101112,2022-10-14 11:58:17.363,ENABLED,2000,USD,DAILY_BUDGET,11,20.04,10435,6,EXACT,EXACT,x wing parts
421,2187,2022-08-14,9101112,2022-10-14 11:58:17.135,ENABLED,2000,USD,DAILY_BUDGET,15,32.89,11175,6,EXACT,EXACT,x wing parts
421,2187,2022-08-23,9101112,2022-10-14 11:40:57.989,ENABLED,2000,USD,DAILY_BUDGET,18,30.91,12631,6,EXACT,EXACT,x wing parts
