id,modification_time,ad_group_id,bid_amount,bid_currency,campaign_id,deleted,match_type,status,text
976093308,2021-12-09 15:36:51.6,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,cat
976093309,2021-12-09 15:36:51.607,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,cat games for cats
976093310,2021-12-09 15:36:51.618,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,tap tap
976093307,2021-12-09 15:36:51.588,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,kitty
976093306,2021-12-09 15:36:51.583,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,kitty games
976093305,2021-12-09 15:36:51.578,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,pet cat
976093304,2021-12-09 15:36:51.571,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,kitten
976093313,2021-12-09 15:36:51.633,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,tip cat
976093314,2021-12-09 15:36:51.647,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,tip tap cat
976093312,2021-12-09 15:36:51.627,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,games for cats
976093311,2021-12-09 15:36:51.622,976005125,1.5,USD,973923054,f,BROAD,ACTIVE,cat game
983951490,2021-12-14 22:20:07.763,983960442,1.42,USD,973923054,f,BROAD,ACTIVE,dumb games
983951494,2021-12-14 22:20:07.78,983960442,1.42,USD,973923054,f,BROAD,ACTIVE,bored
983951492,2021-12-14 22:20:07.773,983960442,1.42,USD,973923054,f,BROAD,ACTIVE,relax games
983951491,2021-12-14 22:20:07.77,983960442,1.42,USD,973923054,f,BROAD,ACTIVE,im bored
983951493,2021-12-14 22:20:07.777,983960442,1.42,USD,973923054,f,BROAD,ACTIVE,time wasters
