source_relation,date_day,campaign_id,impressions,spend,currency,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads,taps
"",2021-12-17,973923054,100,5.09,USD,0,0,0,0,0,0,5
"",2021-12-20,973923054,63,0.32,USD,0,0,0,0,0,0,3
"",2021-12-12,973923054,249,5.56,USD,2,2,2,2,0,0,7
"",2021-12-09,973923054,1605,25.08,USD,1,1,1,1,0,0,31
"",2021-12-13,973923054,492,5.26,USD,1,1,1,1,0,0,7
"",2021-12-11,973923054,290,5.71,USD,1,1,1,1,0,0,5
"",2021-12-16,973923054,318,5.07,USD,1,1,1,1,0,0,5
"",2021-12-14,973923054,350,5.03,USD,4,4,4,4,0,0,11
"",2021-12-19,973923054,426,5.95,USD,4,4,4,4,0,0,9
"",2021-12-18,973923054,403,5,USD,2,2,2,2,0,0,9
"",2021-12-10,973923054,1494,25.88,USD,6,6,6,6,0,0,27
"",2021-12-15,973923054,546,6.05,USD,3,3,3,3,0,0,10
