source_relation,date_day,_fivetran_id,campaign_id,ad_group_id,ad_group_name,bid_amount,bid_currency,keyword_text,keyword_display_status,keyword_id,spend,currency,match_type,search_term_source,search_term_text,impressions,taps,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads
"",2021-12-09,dksyE33ExIkQZipyO08ioP9iTEc=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,game center,27,0,0,0,0,0,0,0
"",2021-12-09,Aaf/jgxpyCYQgtAB/ko2TZtQ6v0=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,paper,15,0,0,0,0,0,0,0
"",2021-12-09,v+pJAKA4X46lbxqKTUOvEv+TeC4=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,stack,12,0,0,0,0,0,0,0
"",2021-12-09,MkA0Laj2c9X8SRvMIdHN/pbZTLQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,paper.io,13,0,0,0,0,0,0,0
"",2021-12-09,rD/dvvW8RQLg9ZXPezK65FBxWs4=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,helix jump,11,0,0,0,0,0,0,0
"",2021-12-09,VpMoQtePM21E4yU21PwX9uYvM5Y=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,mario,13,0,0,0,0,0,0,0
"",2021-12-09,JpiaYX49uUiC+bQsCFObxuYdT8M=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,bounce,12,0,0,0,0,0,0,0
"",2021-12-10,8/UKgvgCB6uE5oH+2yJpZ7pqURQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,sausage run,16,0,0,0,0,0,0,0
"",2021-12-10,dksyE33ExIkQZipyO08ioP9iTEc=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,game center,16,0,0,0,0,0,0,0
"",2021-12-10,Tf69pv9+RT0ZsA42vr9Xhj+EVDU=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,subway surf,16,0,0,0,0,0,0,0
"",2021-12-10,9BUHCwFFSo6atmfu+SdyZzzp14g=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,fall,11,0,0,0,0,0,0,0
"",2021-12-10,wqsOcMvoLHC7bQE49nhogcYXbMU=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,work it harder,14,0,0,0,0,0,0,0
"",2021-12-10,KQjM2kLvh73tINBWmkVcNEvr6ls=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,cat game,16,0,0,0,0,0,0,0
"",2021-12-10,nkYUFvKE3mj4gIDNe2S/RZ/0WW8=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,تاپ,16,0,0,0,0,0,0,0
"",2021-12-11,MKkor4ZNKA/Z7F2lh/weQMGeS24=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,transformers,11,0,0,0,0,0,0,0
"",2021-12-11,IQZN5tptk2NNXgNqaZIjEzuyoOM=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,nyan cat,12,0,0,0,0,0,0,0
"",2021-12-14,L2RrOEcoVBisEbCVJ1fd7RBxkC4=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,purrfect tale,21,0,0,0,0,0,0,0
"",2021-12-15,lf+kpQaunGWMi7MIYRDbNUqivwA=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,pubg mobile,11,0,0,0,0,0,0,0
"",2021-12-18,zMRvBLn27z+ZjZFIVaH3ySPXM9k=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,battle cats,32,0,0,0,0,0,0,0
"",2021-12-19,3ZrTkyBusy79ZfMJXaH015gkqDQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,,,,0,USD,AUTO,AUTO,games for cats,14,0,0,0,0,0,0,0
"",2021-12-19,menprDIEjnz9A21PJYllJXMuzz8=,973923054,983960442,Bored Ad Group,1.42,USD,,,,0,USD,AUTO,AUTO,,1,0,0,0,0,0,0,0
"",2021-12-11,2y+WyCdDI+OwOFALpPnKRr3R9oQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,RUNNING,976093304,0,USD,BROAD,TARGETED,,3,0,0,0,0,0,0,0
"",2021-12-12,2y+WyCdDI+OwOFALpPnKRr3R9oQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,RUNNING,976093304,0,USD,BROAD,TARGETED,,18,0,0,0,0,0,0,0
"",2021-12-13,2y+WyCdDI+OwOFALpPnKRr3R9oQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,RUNNING,976093304,0,USD,BROAD,TARGETED,,31,0,0,0,0,0,0,0
"",2021-12-14,2y+WyCdDI+OwOFALpPnKRr3R9oQ=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,RUNNING,976093304,0,USD,BROAD,TARGETED,,6,0,0,0,0,0,0,0
"",2021-12-16,YSEH3Vvu+Kay82+DQu5Qv48vBP8=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,CAMPAIGN_ON_HOLD,976093304,0,USD,BROAD,TARGETED,,42,0,0,0,0,0,0,0
"",2021-12-17,YSEH3Vvu+Kay82+DQu5Qv48vBP8=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,CAMPAIGN_ON_HOLD,976093304,0,USD,BROAD,TARGETED,,12,0,0,0,0,0,0,0
"",2021-12-18,YSEH3Vvu+Kay82+DQu5Qv48vBP8=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,CAMPAIGN_ON_HOLD,976093304,0,USD,BROAD,TARGETED,,35,0,0,0,0,0,0,0
"",2021-12-19,YSEH3Vvu+Kay82+DQu5Qv48vBP8=,973923054,976005125,Kitty Cat Tap,1.5,USD,kitten,CAMPAIGN_ON_HOLD,976093304,0,USD,BROAD,TARGETED,,33,0,0,0,0,0,0,0
"",2021-12-09,C3XaPjodDidP6LbU+0HMcB8zmLA=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,RUNNING,976093305,0,USD,BROAD,TARGETED,,23,0,0,0,0,0,0,0
"",2021-12-11,C3XaPjodDidP6LbU+0HMcB8zmLA=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,RUNNING,976093305,0,USD,BROAD,TARGETED,,19,0,0,0,0,0,0,0
"",2021-12-14,C3XaPjodDidP6LbU+0HMcB8zmLA=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,RUNNING,976093305,0,USD,BROAD,TARGETED,,20,0,0,0,0,0,0,0
"",2021-12-17,+jt6vTQdWaAIra5MBD5AKVZDv5U=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,CAMPAIGN_ON_HOLD,976093305,0,USD,BROAD,TARGETED,,6,0,0,0,0,0,0,0
"",2021-12-18,+jt6vTQdWaAIra5MBD5AKVZDv5U=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,CAMPAIGN_ON_HOLD,976093305,0,USD,BROAD,TARGETED,,50,0,0,0,0,0,0,0
"",2021-12-20,+jt6vTQdWaAIra5MBD5AKVZDv5U=,973923054,976005125,Kitty Cat Tap,1.5,USD,pet cat,CAMPAIGN_ON_HOLD,976093305,0,USD,BROAD,TARGETED,,3,0,0,0,0,0,0,0
