field_name,_fivetran_synced,user_id,value,ticket_id-updated
status,2020-10-02 14:08:33.216,,open,1966-2020-08-28 11:01:27
assignee_id,2020-03-11 14:32:23.872,,1111,6605-2020-08-28 11:01:27
priority,2020-03-11 14:32:23.872,,normal,11071-2020-08-28 11:01:27
status,2020-10-02 14:08:33.216,,pending,4721-2020-08-29 11:01:27
status,2020-10-02 14:08:33.216,,on-hold,14173-2020-09-02 11:01:27
status,2020-10-02 14:08:33.216,,pending,6171-2020-09-05 11:01:27
status,2020-10-02 14:08:33.216,,open,1404-2020-09-15 11:01:27
status,2020-10-02 14:08:33.216,,pending,16988-2020-09-30 11:01:27
priority,2020-03-11 14:32:23.872,,medium,1595-2020-09-30 11:01:27
status,2020-10-02 14:08:33.216,,on-hold,11013-2020-10-01 11:01:27
status,2020-10-02 14:08:33.216,,open,11071-2020-10-15 11:01:27
priority,2020-03-11 14:32:23.872,,high,11071-2020-10-15 11:01:27
status,2020-10-02 14:08:33.216,,on-hold,11071-2020-10-17 11:01:27
status,2020-10-02 14:08:33.216,,pending,11071-2020-10-20 11:01:27
status,2020-10-02 14:08:33.216,,open,11071-2020-11-02 11:01:27
priority,2020-03-11 14:32:23.872,,urgent,11071-2020-11-02 11:01:27
status,2020-10-02 14:08:33.216,,solved,11071-2020-11-14 11:01:27
status,2020-10-02 14:08:33.216,,closed,11071-2020-11-15 11:01:27
status,2020-07-02 02:09:05.984,,solved,6964-2020-06-01 21:11:59
status,2020-03-12 02:32:23.808,,solved,974-2020-02-10 21:47:41
priority,2020-03-12 02:32:23.808,,solved,980-2020-02-10 22:06:57
status,2020-08-07 02:09:08.192,,solved,8205-2020-07-07 23:01:47
status,2020-03-11 14:32:23.872,,solved,103-2020-02-10 08:36:38
assignee_id,2020-03-11 14:32:23.872,,1111,108-2020-02-10 08:36:38
status,2020-03-11 14:32:23.872,,solved,95-2020-02-10 08:36:39
status,2020-03-11 14:32:23.872,,solved,107-2020-02-10 08:36:38
status,2020-03-11 14:32:23.872,,solved,102-2020-02-10 08:36:38
status,2020-03-11 14:32:23.872,,solved,102-2020-02-10 08:36:38
status,2020-03-11 14:32:20.096,,solved,226-2020-02-10 08:35:52
status,2020-03-11 14:32:20.096,,solved,229-2020-02-10 08:35:52
status,2020-10-02 20:08:19.701,,solved,11016-2020-09-02 15:53:15
status,2020-03-11 14:32:23.872,,solved,102-2020-02-10 08:36:38
status,2020-03-12 02:32:29.045,,solved,982-2020-02-10 22:32:56
status,2020-03-11 14:32:23.861,,solved,141-2020-02-10 08:36:25
status,2020-03-13 02:35:56.661,,solved,1192-2020-02-12 00:22:26
status,2020-03-11 14:32:23.872,,solved,102-2020-02-10 08:36:38
status,2020-03-11 14:32:09.781,,solved,312-2020-02-10 08:35:18
