location,p_q1b_4,nr_s,p_q14b,p_q3a,p_q6c,p_q2b,p_q14d,p_q14c,p_q12a,eng_t_10,p_q12b,p_q1b_5,com_tot_10,p_q1f,p_q1c_2,p_q13b,p_q1d_2,p_q1e,com_t_10,p_q8b,p_q8a,saf_p_10
P.S. K369 - Coy L. Cox School,1,202.0,,7.8,7.9,7.0,,,8.0,6.6,7.8,0,6.9,8.4,51,,53,7.9,6.8,7.2,6.8,8.5
P.S. X012 Lewis and Clark School,6,212.0,,7.5,7.0,6.1,,,7.3,4.2,7.1,0,5.4,8.8,33,,47,7.3,3.7,7.1,7.5,7.4
P.S. X010,0,93.0,,8.7,8.5,8.2,,,8.7,7.0,8.4,0,7.7,8.9,35,,41,8.4,7.3,8.4,8.0,9.0
P.S. M079 - Horan School,0,142.0,,8.4,8.3,7.6,,,8.2,6.2,8.0,0,6.8,8.4,41,,45,7.9,5.7,7.9,7.5,8.8
P.S. 372 -The Children's School,2,,,8.4,7.8,6.9,,,8.8,8.3,8.7,0,7.7,9.2,32,,35,8.3,7.5,8.2,8.5,8.9
THE RICHARD H. HUNGERFORD SCHOOL,1,87.0,,8.5,8.4,8.0,,,8.6,8.2,8.4,0,8.4,8.7,33,,42,8.1,8.5,8.4,8.0,9.0
P.S. M811 - Mickey Mantle School,3,37.0,,7.8,8.1,6.9,,,7.8,6.8,7.7,0,7.1,8.7,53,,26,7.6,7.0,7.9,7.0,8.2
P.S. K140,1,96.0,,7.7,7.8,6.7,,,7.6,5.6,7.3,0,6.8,7.8,65,,64,7.2,6.5,7.5,6.8,8.2
P.S. Q255,1,14.0,,8.5,8.3,8.6,,,8.5,7.6,8.1,0,7.7,8.6,45,,46,8.4,7.6,8.0,7.6,8.9
P.S. K053,0,185.0,,8.0,8.3,7.2,,,8.1,6.9,8.1,1,7.6,8.4,52,,55,8.0,7.3,8.0,7.6,8.8
P.S. Q224,1,66.0,,8.4,8.2,8.8,,,8.4,7.1,8.0,0,7.7,8.7,39,,47,8.0,7.4,8.0,7.5,8.9
P.S. X188,0,248.0,,8.2,8.5,7.5,,,7.8,6.7,7.7,0,7.3,8.4,47,,48,7.8,6.8,7.7,7.6,8.7
P.S. 168,2,107.0,,8.2,8.4,7.4,,,8.3,6.5,7.9,0,7.3,8.7,43,,42,8.1,6.8,7.8,7.4,8.6
P.S. 009,3,111.0,,7.1,7.4,6.3,,,7.4,6.6,7.1,1,6.8,7.7,58,,51,7.4,6.9,6.8,6.2,8.1
