grade_1,grade_3k,missing_race_ethnicity_data,native_american_1,grade_pk_half_day_full_day
0,0,5,0.018,0
39,0,0,0.003,54
0,0,1,0.006,0
0,0,0,0.013,0
0,0,7,0.006,0
83,0,1,0.0,0
0,0,1,0.003,0
0,0,0,0.014,0
46,0,1,0.006,68
0,0,2,0.004,0
58,0,1,0.0,0
0,0,2,0.007,0
0,0,1,0.008,0
45,14,0,0.009,15
82,0,0,0.004,36
0,0,3,0.0,0
105,0,0,0.002,34
0,0,3,0.005,0
0,0,0,0.006,0
46,0,2,0.006,78
48,0,0,0.0,72
15,0,0,0.028,14
0,0,11,0.004,0
0,0,6,0.007,0
0,0,9,0.014,0
107,0,5,0.002,0
0,0,24,0.012,0
0,0,3,0.004,0
0,0,0,0.004,0
69,0,1,0.006,42
0,0,13,0.005,0
0,0,13,0.008,0
155,0,1,0.001,18
0,0,10,0.006,0
0,0,11,0.002,0
92,0,1,0.002,48
98,0,1,0.0,18
0,0,0,0.0,0
86,0,0,0.0,63
28,0,0,0.011,14
0,0,11,0.014,0
0,0,10,0.006,0
48,0,1,0.004,90
0,0,2,0.015,0
0,0,3,0.007,0
0,0,17,0.003,0
0,0,9,0.008,0
0,0,1,0.005,0
0,0,4,0.004,0
0,0,14,0.008,0
0,0,0,0.009,0
0,0,109,0.004,0
0,0,0,0.004,0
0,0,0,0.0,0
41,0,4,0.002,84
0,0,2,0.002,0
0,0,2,0.017,0
0,0,4,0.0,0
0,0,2,0.007,0
0,0,2,0.023,0
28,0,0,0.0,26
0,0,16,0.012,0
53,0,0,0.0,23
27,0,0,0.003,8
0,0,0,0.0,0
0,0,8,0.01,0
0,0,15,0.01,0
21,0,0,0.0,19
106,0,0,0.0,59
77,0,0,0.009,36
0,0,13,0.002,0
38,0,0,0.0,13
0,0,6,0.005,0
0,0,3,0.015,0
26,0,0,0.003,12
0,0,7,0.016,0
68,0,0,0.0,72
44,0,0,0.003,34
0,0,21,0.0,0
59,0,0,0.004,58
59,14,2,0.0,53
0,0,27,0.011,0
0,0,0,0.0,0
121,0,0,0.001,0
0,0,3,0.008,0
0,0,0,0.021,0
0,0,8,0.015,0
0,0,10,0.005,0
0,0,2,0.0,0
0,0,1,0.019,0
114,0,0,0.003,0
52,0,1,0.007,37
0,0,7,0.0,0
0,0,0,0.0,0
111,0,1,0.005,54
59,0,0,0.005,31
0,0,3,0.007,0
0,0,16,0.009,0
118,0,0,0.0,56
0,0,0,0.0,0
0,0,17,0.007,0
0,0,0,0.0,0
0,0,4,0.004,0
0,0,7,0.004,0
0,0,0,0.004,0
96,0,0,0.002,40
0,0,26,0.007,0
0,0,0,0.015,0
77,0,0,0.002,0
0,0,5,0.013,0
28,14,0,0.01,9
0,0,0,0.003,0
0,0,27,0.005,0
0,0,0,0.009,0
0,0,0,0.0,0
47,0,1,0.003,38
0,0,8,0.002,0
0,0,4,0.01,0
0,0,0,0.0,0
0,0,6,0.007,0
0,0,2,0.007,0
0,0,1,0.007,0
89,0,0,0.005,31
79,0,2,0.015,54
0,0,1,0.0,0
0,0,27,0.014,0
69,0,1,0.009,35
0,0,0,0.027,0
89,0,1,0.0,18
0,0,3,0.009,0
0,0,0,0.003,0
82,0,1,0.008,34
0,0,5,0.002,0
0,0,0,0.0,0
65,0,0,0.016,18
0,0,7,0.011,0
0,89,1,0.002,342
85,1,0,0.004,35
0,0,0,0.006,0
50,0,1,0.009,42
83,0,0,0.002,0
111,0,0,0.002,22
0,0,0,0.004,0
0,0,0,0.029,0
0,0,1,0.022,0
0,0,0,0.011,0
0,0,1,0.009,0
0,0,0,0.007,0
55,0,0,0.0,28
97,0,0,0.011,31
0,0,1,0.005,0
116,0,9,0.007,0
0,0,11,0.011,0
0,0,12,0.005,0
18,15,0,0.01,22
48,9,0,0.013,28
96,0,0,0.003,36
46,14,0,0.009,22
56,0,0,0.0,72
50,0,1,0.007,18
0,0,3,0.003,0
43,3,2,0.018,48
48,0,0,0.0,33
139,0,1,0.001,18
86,0,0,0.0,31
0,0,14,0.004,0
0,0,0,0.004,0
0,0,6,0.008,0
24,0,0,0.004,12
0,0,2,0.0,0
0,0,0,0.003,0
0,0,10,0.004,0
69,0,1,0.002,42
0,0,22,0.004,0
0,0,3,0.011,0
0,0,14,0.009,0
0,0,22,0.0,0
135,0,1,0.008,72
0,0,3,0.002,0
57,0,0,0.013,31
102,0,1,0.002,37
0,0,1,0.0,0
101,0,2,0.0,0
80,0,0,0.002,43
0,0,11,0.002,0
0,0,22,0.0,0
113,0,0,0.003,66
0,0,0,0.0,0
0,0,12,0.019,0
0,0,3,0.009,0
0,0,0,0.003,0
92,0,0,0.002,54
0,0,0,0.007,0
75,0,2,0.004,0
65,0,3,0.024,52
0,0,0,0.0,0
0,0,1,0.014,0
62,0,0,0.002,72
0,0,3,0.006,0
26,0,0,0.005,18
138,0,0,0.001,18
0,0,19,0.01,0
0,0,0,0.004,0
0,0,7,0.011,0
31,21,0,0.011,25
142,0,1,0.005,18
44,0,0,0.013,34
0,0,15,0.011,0
69,0,1,0.011,18
0,0,15,0.012,0
0,0,0,0.008,0
49,0,0,0.0,55
68,0,2,0.002,18
0,0,12,0.018,0
55,0,1,0.005,29
0,0,0,0.005,0
0,0,19,0.01,0
0,0,0,0.004,0
27,14,0,0.021,17
0,0,7,0.011,0
0,0,14,0.008,0
61,0,0,0.003,36
32,0,0,0.0,38
25,0,0,0.0,17
0,0,5,0.002,0
83,0,1,0.007,71
20,0,0,0.008,0
0,0,0,0.011,0
136,0,1,0.003,18
0,0,3,0.015,0
0,0,0,0.007,0
34,15,3,0.005,10
40,0,0,0.025,32
109,0,0,0.011,17
0,0,10,0.009,0
44,0,0,0.006,35
55,0,0,0.0,67
0,0,3,0.009,0
0,0,0,0.008,0
113,0,14,0.001,16
