bk_sunset_park_west,qn_murray_hill,bk_clinton_hill,si_grasmere_arrochar_ft,qn_park_cemetery_etc_queens,state,qn_jamaica_estates_holliswood,bx_west_farms_bronx_river,bk_crown_heights_north,bx_claremont_bathgate,mn_upper_west_side,qn_forest_hills,si_oakwood_oakwood_beach,bk_bensonhurst_east,mn_chinatown,bk_prospect_lefferts_gardens,bbl,bx_kingsbridge_heights,bk_borough_park,bx_mount_hope,mn_washington_heights_north,qn_fresh_meadows_utopia,mn_central_harlem_south,bk_dyker_heights,bk_bushwick_south,qn_kew_gardens_hills,bk_georgetown_marine_park,qn_lindenwood_howard_beach,si_westerleigh,organization_type,si_annadale_huguenot_prince,bx_van_cortlandt_village,qn_laurelton,qn_jackson_heights,council_district,qn_bayside_bayside_hills,bx_pelham_bay_country_club,mn_park_cemetery_etc_manhattan,qn_far_rockaway_bayswater,bk_brooklyn_heights_cobble,qn_hollis,bk_stuyvesant_heights,bx_bronxdale,bk_sheepshead_bay_gerritsen,bk_bensonhurst_west
,,,Grasmere-Arrochar-Ft. Wadsworth,,NY,,,,,,,Oakwood-Oakwood Beach,,,,1001020001.0,,,,,,,,,,,,Westerleigh,College and/or university,Annadale-Huguenot-Prince's Bay-Eltingville,,,,1.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,5031970001.0,,,,,,,,,,,,,Community-based organization,,,,Jackson Heights,50.0,,,,,,,,,,
,,,,,NY,,,,,Upper West Side,,,,,,5010050025.0,,,,,,,,,,,,,Community-based organization,,,,,49.0,,,,,,,,,,
,,,,,NJ,,,,,,,,Bensonhurst East,,,,,,,,,,Dyker Heights,,,,,,"Community-based organization, Social Emotional Learning",,,,,,,,,,,,,,,Bensonhurst West
,,,,,NY,,,,,,,,,,,4119330001.0,,,,,,,,,,,,,Community-based organization,,,,,28.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1011640037.0,,,,,,,,,,,,,Community-based organization,,,,,6.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,4001910005.0,,,,,,,,,,,,,Community-based organization,,,,,26.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,4019180001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,City agency,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,21.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,Crown Heights North,,,,,,,,1000940025.0,,,,,,,,,,,,,Community-based organization,,,,,1.0,,,,,,,Stuyvesant Heights,,,
,,,,,NY,,,,,,,,,,,3060817501.0,,,,,,,,,,,,,"Community-based organization, Volunteer-led group",,,,,43.0,,,,,,,,,,
,,,,,NY,,West Farms-Bronx River,,Claremont-Bathgate,Upper West Side,,,,Chinatown,,1004660025.0,Kingsbridge Heights,,Mount Hope,Washington Heights North,,Central Harlem South,,,,,,,Community-based organization,,Van Cortlandt Village,,,2.0,,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,,,,,Bronxdale,,
,,,,,NY,,,,,,,,,,,2023480005.0,,,,,,,,,,,,,Community-based organization,,,,,8.0,,,,,,,,,,
,,,,,NY,,,,,Upper West Side,,,,,,3058090070.0,,,Mount Hope,,,Central Harlem South,,,,,,,Volunteer-led group,,,,,38.0,,,,,Brooklyn Heights-Cobble Hill,,,,,
Sunset Park West,,,,,NY,,,,,Upper West Side,,,,,,1007860001.0,Kingsbridge Heights,,Mount Hope,Washington Heights North,,Central Harlem South,Dyker Heights,Bushwick South,,,,,Community-based organization,,,,Jackson Heights,3.0,,,,Far Rockaway-Bayswater,,,,,,Bensonhurst West
,,,,,NY,,,,,,,,,,,1011547501.0,Kingsbridge Heights,,,,,,,,,,,,Health Care organization,,,,,6.0,,Pelham Bay-Country Club-City Island,,,,,,Bronxdale,,
,Murray Hill,,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,,Chinatown,,3001840009.0,Kingsbridge Heights,,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,,,Kew Gardens Hills,,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,33.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,,Hollis,,Bronxdale,,
