school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
P.S. 107 John W. Kimball,97%,5%,3%,87%,93%,92%,3%,95%,1%,1%,100%,92%,13%,94%,33%,11%,0%,2%,2%,97%,0%,8%,97%,92%,92%,,83%,17%
Mott Haven Community High School,100%,0%,0%,98%,100%,100%,0%,100%,0%,0%,100%,40%,22%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
P.S. 153 Helen Keller,99%,0%,2%,97%,96%,94%,0%,99%,0%,1%,99%,94%,11%,98%,,0%,0%,0%,5%,98%,0%,2%,100%,91%,98%,,,
P.S. 030 Wilton,93%,13%,6%,90%,90%,86%,6%,95%,5%,5%,98%,86%,30%,90%,6%,13%,2%,13%,16%,94%,0%,19%,94%,85%,81%,,88%,12%
P.S. 024 Spuyten Duyvil,94%,13%,10%,95%,88%,91%,10%,97%,7%,2%,98%,93%,14%,96%,0%,0%,1%,7%,9%,90%,0%,6%,90%,90%,94%,,0%,0%
The Global Learning Collaborative,93%,7%,3%,68%,93%,82%,3%,97%,5%,4%,96%,82%,34%,95%,0%,0%,5%,6%,0%,97%,6%,0%,97%,86%,0%,,0%,0%
Sunset Park Prep,94%,0%,0%,89%,94%,94%,6%,88%,0%,0%,94%,89%,11%,100%,0%,,0%,0%,0%,100%,0%,0%,94%,94%,0%,,0%,0%
The Lexington Academy,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,
P.S. X015 Institute For Environmental Learning,88%,6%,8%,90%,91%,88%,7%,90%,4%,8%,94%,94%,20%,84%,0%,24%,8%,11%,6%,92%,0%,9%,93%,88%,91%,,0%,0%
The New American Academy At Roberto Clemente State Park,93%,18%,14%,93%,85%,87%,14%,90%,10%,7%,93%,90%,27%,93%,,23%,3%,14%,15%,86%,0%,14%,86%,83%,86%,,,
P.S. 095 Sheila Mencher,93%,6%,2%,90%,94%,90%,6%,95%,4%,4%,96%,93%,21%,95%,0%,5%,2%,5%,13%,98%,0%,10%,94%,88%,90%,,0%,0%
High School For Violin And Dance,100%,0%,0%,80%,100%,100%,0%,100%,0%,0%,100%,80%,20%,100%,0%,,0%,0%,0%,100%,20%,0%,100%,100%,0%,,0%,0%
I.S. 181 Pablo Casals,96%,4%,3%,84%,95%,88%,3%,94%,4%,5%,96%,91%,24%,96%,0%,6%,4%,4%,0%,97%,0%,0%,97%,86%,0%,,0%,0%
P.S. 230 Doris L. Cohen,95%,6%,6%,92%,90%,93%,6%,96%,1%,1%,97%,95%,13%,99%,0%,0%,1%,6%,3%,94%,0%,5%,94%,93%,95%,,100%,0%
