unnamed_column,unnamed_column_1,q45_in_how_many_of_your,q2_at_this_school_students,q30_there_is_at_least_one_1,q54_at_this_school_students,q58_if_you_are_a_student,q4_my_teachers_use_examples_1,q42_in_how_many_of_your_1,q57_if_you_are_a_student_1,q64_if_you_are_a_student,q27_in_how_many_of_your_1,q32_there_is_time_at_school_1,q62_if_you_are_a_student,q46_i_feel_safe_outside_around_1,q26_in_how_many_of_your_1,q17_in_how_many_of_your,q20_in_how_many_of_your_1,q60_if_you_are_a_student,q21_in_how_many_of_your,q65_if_you_are_a_student,q17_in_how_many_of_your_1,q18_in_how_many_of_your,q1_most_students_at_this_1,q28_i_m_learning_a_lot_in,q27_in_how_many_of_your,q60_if_you_are_a_student_1,q25_in_how_many_of_your_1,q12_during_this_school_year_1,q16_during_this_school_year,q52_at_this_school_students,q39_my_classes_at_this_school,q11_during_this_school_year_1,q65_if_you_are_a_student_1,q52_at_this_school_students_1,q23_in_how_many_of_your_1,q2_at_this_school_students_1,q44_in_how_many_of_your,q31_my_teachers_check_in_1,q62_if_you_are_a_student_1,q61_if_you_are_a_student_1,q37_most_students_treat_1
08X367,"Archimedes Academy for Math, Science and Technology Applications",0.19,0.11,0.82,0.79,0.11,0.86,0.5,0.92,0.22,0.53,0.72,0.21,0.83,0.79,0.3,0.8,0.09,0.15,0.24,0.7,0.12,0.79,0.18,0.48,0.91,0.72,0.95,0.5,0.85,0.24,0.75,0.76,0.15,0.82,0.89,0.61,0.73,0.79,0.77,0.88
03M479,Beacon High School,0.19,0.08,0.83,0.79,,0.78,0.7,,0.24,0.53,0.67,0.29,0.93,0.6,0.42,0.85,0.1,0.11,0.24,0.58,0.15,0.96,0.13,0.47,0.9,0.55,0.97,0.31,0.87,0.1,0.65,0.76,0.13,0.7,0.92,0.29,0.57,0.71,0.79,0.95
03M247,M.S. M247 Dual Language Middle School,0.1,0.01,0.83,0.91,0.07,0.94,0.48,0.94,,0.66,0.85,,0.98,0.82,0.29,0.88,,0.12,,0.71,0.11,0.88,0.06,0.34,,0.85,0.96,0.52,0.94,0.17,0.88,,0.06,0.75,0.99,0.32,0.82,,,0.93
31R080,The Michael J. Petrides School,0.32,0.09,0.81,0.68,0.21,0.75,0.56,0.78,0.23,0.42,0.46,0.2,0.91,0.57,0.5,0.67,0.08,0.2,0.22,0.5,0.17,0.77,0.2,0.58,0.92,0.63,0.91,0.51,0.75,0.26,0.71,0.78,0.25,0.61,0.91,0.75,0.57,0.8,0.83,0.87
27Q114,P.S./M.S. 114 Belle Harbor,0.11,0.07,0.82,0.86,0.15,0.73,0.48,0.83,,0.68,0.38,,0.93,0.77,0.36,0.78,,0.11,,0.64,0.16,0.92,0.1,0.32,,0.85,0.99,0.64,0.85,0.17,0.87,,0.15,0.7,0.93,0.37,0.65,,,0.91
14K685,El Puente Academy for Peace and Justice,0.1,0.1,0.88,0.82,,0.91,0.62,,0.11,0.74,0.75,0.11,0.91,0.87,0.3,0.84,0.08,0.15,0.11,0.7,0.14,0.89,0.1,0.26,0.92,0.88,0.93,0.46,0.88,0.16,0.76,0.89,0.12,0.84,0.9,0.4,0.85,0.89,0.91,0.91
84K774,Achievement First Apollo Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32K045,P.S./I.S. 045 Horace E. Greene,0.21,0.06,0.72,0.71,0.05,0.84,0.59,0.87,,0.59,0.67,,0.73,0.8,0.4,0.71,,0.18,,0.6,0.14,0.78,0.13,0.41,,0.82,0.91,0.55,0.78,0.23,0.8,,0.22,0.77,0.94,0.25,0.77,,,0.85
10X280,P.S./M.S. 280 Mosholu Parkway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07X548,Careers in Sports High School,0.11,0.05,0.87,0.83,,0.93,0.42,,0.17,0.61,0.74,0.11,0.93,0.76,0.36,0.79,0.09,0.18,0.2,0.64,0.14,0.91,0.16,0.39,0.91,0.82,0.93,0.6,0.9,0.2,0.83,0.8,0.1,0.8,0.95,0.6,0.82,0.89,0.88,0.94
