incident_address,:@computed_region_92fq_4b7q,park_borough,landmark,agency,road_ramp
171 WEST BURNSIDE AVENUE,,Unspecified,,HPD,
 GRAND CENTRAL PKWY,,QUEENS,,DOT,
 MARINE PARK,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,BRONX,,DOT,
,,BROOKLYN,,DOT,
 INWOOD HILL PARK,,MANHATTAN,,DOT,
,,Unspecified,,DCA,
,,BRONX,,DOT,
,,Unspecified,,DOT,
1225 BAY RDGE AVE,,BROOKLYN,,DEP,
 LINDEN BOULEVARD,,QUEENS,,DSNY,
,,BRONX,,DOT,
,,STATEN ISLAND,,DEP,
 INWOOD HILL PARK,,MANHATTAN,,DOT,
,,Unspecified,,DCA,
 FDR DR,,MANHATTAN,,DOT,
,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
,,MANHATTAN,,DOT,
 BELT PKWY,,BROOKLYN,,DOT,
,,BROOKLYN,,DOT,
 HYLAN BOULEVARD,,Unspecified,,DOT,
,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
,,Unspecified,,DOT,
,,BRONX,,DOT,
,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,QUEENS,,DEP,
,,QUEENS,,DOT,
,,MANHATTAN,,DOT,
 TRIBORO BRIDGE,,BRONX,,DOT,
 NEW ENG THRWY,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,Unspecified,,DCA,
 GRAND CENTRAL PKWY,,QUEENS,,DOT,
,,QUEENS,,DOT,
,,BRONX,,DOT,
,,Unspecified,,TLC,
183 WEST BURNSIDE AVENUE,,Unspecified,,HPD,
,,MANHATTAN,,DOT,
,,QUEENS,,DOT,
,,MANHATTAN,,DOT,
 NUGENT AVENUE,,STATEN ISLAND,,DSNY,
,,MANHATTAN,,DOT,
,,BRONX,,DOT,
,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
,,BRONX,,DOT,
,,Unspecified,,DCA,
,,MANHATTAN,,DOT,
,,BRONX,,DOT,
,,BRONX,,DOT,
 1 AVE,,MANHATTAN,,DOT,
,,MANHATTAN,,TLC,
,,QUEENS,,DOT,
N/A N/A,,Unspecified,,DCA,
,,Unspecified,,DOT,
,,BROOKLYN,,DOT,
,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
54 FRANKLYN ST,,MANHATTAN,,DEP,
 PALMER AVE,,BRONX,,DOT,
,,QUEENS,,DSNY,
,,MANHATTAN,,DOT,
 BRONX RVR PKWY,,BRONX,,DOT,
,,BROOKLYN,,DOT,
,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,Unspecified,,DCA,
,,BROOKLYN,,DOT,
,,QUEENS,,DOT,
,,QUEENS,,DOT,
,,QUEENS,,DOT,
,,BROOKLYN,,DOT,
,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,QUEENS,,DOT,
,,Unspecified,,TLC,
,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,QUEENS,,DOT,
,,Unspecified,,DOT,
,,BROOKLYN,,DOT,
 BRONX RVR PKWY,,BRONX,,DOT,
,,MANHATTAN,,DOT,
 MARINE PARK,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
 NEW UTRECHT AVE,,BROOKLYN,,DOT,
,,BRONX,,DOT,
 GRAND ARMY PLAZA MALLS,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
,,BROOKLYN,,DOT,
,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,QUEENS,,DOT,
,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,QUEENS,,DOT,
,,MANHATTAN,,DOT,
 CASTLE HILL AVENUE,,BRONX,,DOT,
,,BRONX,,DOT,
 UNION TURNPIKE,,QUEENS,,DOT,
,,BRONX,,DOT,
,,BROOKLYN,,DOT,
 BRONX RVR PKWY,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,BRONX,,DEP,
,,Unspecified,,DCA,
 MARINE PARK,,BROOKLYN,,DOT,
,,MANHATTAN,,DOT,
,,BROOKLYN,,DOT,
,,BRONX,,DOT,
,,MANHATTAN,,DPR,
,,MANHATTAN,,DPR,
 BRONX RVR PKWY,,BRONX,,DOT,
1517 WILLET STREET,,Unspecified,,HPD,
,,MANHATTAN,,DOT,
 NEW UTRECHT AVE,,BROOKLYN,,DOT,
,,QUEENS,,DOT,
 MYRTLE AVE,,QUEENS,,DOT,
,,MANHATTAN,,DOT,
,,MANHATTAN,,TLC,
 RIVERSIDE DR,,MANHATTAN,,DOT,
,,MANHATTAN,,DOT,
,,BROOKLYN,,DOT,
,,STATEN ISLAND,,DPR,
,,BRONX,,DEP,
17 171 ST E,,BRONX,,DOT,
,,MANHATTAN,,DOT,
,,MANHATTAN,,DOT,
183 WEST BURNSIDE AVENUE,,Unspecified,,HPD,
 CLOVE ROAD,,STATEN ISLAND,,DSNY,
 NEW UTRECHT AVE,,BROOKLYN,,DOT,
,,QUEENS,,DOT,
,,MANHATTAN,,DOT,
