program_address_1,council_district,office_wed_from_time
89-56 162nd Street,24.0,
450 Saint Paul`s Place,,9:00 AM
2488 Grnad Concourse,,9:00 AM
69 West 118th Street,9.0,9:00 AM
205 East 122nd Street,8.0,9:00 AM
163-18 Jamaica Avenue,27.0,9:00 AM
444 Thomas S Boyland Street,,9:00 AM
301 W 140th Street,9.0,9:00 AM
37-10 30th Street,26.0,9:00 AM
358 Saint Marks Place,49.0,9:00 AM
336 Fort Washington,,9:00 AM
521 Ocean Parkway,39.0,9:00 AM
2924 Fulton Street,37.0,9:00 AM
89-31 161st Street,24.0,9:00 AM
1165 Rockaway Avenue,42.0,9:00 AM
689 Lenox Avenue,9.0,9:00 AM
1130 Grand Concourse,16.0,9:00 AM
107-14 Liberty Avenue,32.0,
2488 Grand Concourse,15.0,9:00 AM
1957 Nostrand Avenue,45.0,9:00 AM
1968 2nd Avenue,8.0,9:00 AM
133-25 Guy R. Brewer Boulevard,28.0,
380 West 114 Street,9.0,9:00 AM
100 Hester Street,1.0,9:00 AM
19-31 Mott Avnue,,
84 Stanton Street,1.0,9:00 AM
369 East 148th Street,17.0,
345 43rd Street,38.0,9:00 AM
