date_complaint_inquiry,nature_of_complaint_inquiry,bic_number,census_tract,community_board
2020-07-21T00:00:00.000,Licensing - All,,,
,Other - All,TWC-1153,,
2025-04-02T00:00:00.000,Rates-Overcharge - Trade Waste,BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,,
2025-12-12T00:00:00.000,Other - All,BIC-1431,,
,Unlicensed Carter - Trade Waste,TWC-0,,
,Service - All,TWC-1059,92.0,6.0
2015-01-21T00:00:00.000,Disposal - All,,,
,Unlicensed Carter - Trade Waste,TWC-0,,
2017-06-21T00:00:00.000,Unlicensed Carter - Trade Waste,,,
2019-04-04T00:00:00.000,Other - All,BIC-2469,,
2013-12-03T00:00:00.000,Containers-Unremoved - Trade Waste,BIC-2628,,
2015-03-05T00:00:00.000,Misinformation - All,,,
,Licensing - All,TWC-NaN,,
,Quality of Life-Noise - Trade Waste,TWC-NaN,,
2015-07-13T00:00:00.000,Information - All;Recycling - Trade Waste,,,
,Information - All,,,
2021-08-17T00:00:00.000,Misinformation - All,,,
,Misinformation - All,TWC-NaN,84.0,5.0
,Information - All,TWC-NaN,,
,Licensing - All,,,
,Quality of Life-Noise - Trade Waste,TWC-NaN,,
2017-04-14T00:00:00.000,Waste Oil - Trade Waste,BIC-3093,93.0,4.0
,Misinformation - All,TWC-NaN,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
2019-12-03T00:00:00.000,Information - All,BIC-1431,,
2019-09-04T00:00:00.000,Unsafe Driving - Trade Waste,BIC-3356,,
2018-08-27T00:00:00.000,Other - All,BIC-172,,
,Billing - All,TWC-NaN,,
,Unlicensed Carter - Trade Waste;Illegal Dumping - Trade Waste,,,
,Billing - All,TWC-NaN,,
,Information - All;Service - All,TWC-158,,
2017-02-28T00:00:00.000,Waste Oil - Trade Waste,BIC-4482,,
2015-04-02T00:00:00.000,Service - All,BIC-1055,134.0,10.0
,Other - All;Service - All,TWC-1240,294.0,12.0
2019-05-26T00:00:00.000,Service - All,,58.0,5.0
,Other - All,TWC-NaN,,
2025-10-23T00:00:00.000,Quality of Life-Noise - Trade Waste;Other - All,BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,240.0,12.0
,Quality of Life-Noise - Trade Waste,TWC-1181,,
,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,TWC-NaN,,
,Other - All,TWC-1240,,
2015-06-22T00:00:00.000,Service - All,BIC-1323,543.0,2.0
2020-06-08T00:00:00.000,Misinformation - All,,,
,Service - All,,,
,Change of Carter - Trade Waste;Rates-Overcharge - Trade Waste,TWC-NaN,,
,Information - All,TWC-NaN,,
,Information - All;Contracts - Trade Waste,TWC-1181,,
,Quality of Life-Noise - Trade Waste,TWC-NaN,15802.0,11.0
2017-08-02T00:00:00.000,Other - All,BIC-1507,,
2006-12-08T00:00:00.000,Disposal - All,,,
2019-07-10T00:00:00.000,Rates-Overcharge - Trade Waste,,,
,,TWC-NaN,,
2016-08-05T00:00:00.000,Quality of Life-Noise - Trade Waste,BIC-173,,
,Service - All,TWC-1146,,
,Containers-Unremoved - Trade Waste,TWC-1323,,
,Licensing - All,TWC-NaN,,
,Licensing - All,TWC-NaN,,
2020-05-15T00:00:00.000,Quality of Life-Noise - Trade Waste,BIC-1181,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
2017-07-25T00:00:00.000,Illegal Dumping - Trade Waste,,,
,Information - All,,,
,Containers-Theft - Trade Waste,TWC-1566,,
2017-08-22T00:00:00.000,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,,17005.0,3.0
,FOIL - All,TWC-NaN,,
,Information - All,TWC-NaN,,
2019-08-22T00:00:00.000,Unlicensed Carter - Trade Waste,,,
,Other - All,TWC-NaN,,
,Information - All;Licensing - All,TWC-NaN,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
2023-01-22T00:00:00.000,Information - All,BIC-507921,,
2016-01-04T00:00:00.000,Rates-Overcharge - Trade Waste,BIC-388,142.0,8.0
2008-08-13T00:00:00.000,Containers-Unremoved - Trade Waste,TWC-2682,,
,Misinformation - All;Other - All,TWC-1181,,
2016-05-31T00:00:00.000,Waste Oil - Trade Waste,BIC-3525,66.0,10.0
,Information - All,TWC-NaN,,
2019-05-10T00:00:00.000,Rates-Overcharge - Trade Waste;Service - All,BIC-491402,,
,Quality of Life-Spillage - Trade Waste,TWC-115,,
,Other - All,TWC-NaN,,
,Containers-Unremoved - Trade Waste,TWC-1181,,
