objectid,number_total_lanes,modified_date,full_street_name,segmentlength,trafdir,street_name,snow_priority,number_travel_lanes,l_blockfaceid
7505,6.0,2019-04-15T15:23:10.000Z,ROCKAWAY BLVD,218.26042447,TW,ROCKAWAY,C,4.0,52260663.0
113022,,2022-05-02T16:20:19.000Z,PEDESTRIAN AND BIKE PATH LINK,350.66344087,NV,PEDESTRIAN AND BIKE PATH LINK,,,
104014,4.0,2019-01-03T14:02:01.000Z,CENTRAL AVE,131.31108,FT,CENTRAL,C,2.0,1622610553.0
26043,4.0,2020-08-28T20:49:50.000Z,CYPRESS AVE,260.83407477,TW,CYPRESS,C,2.0,1922608554.0
110681,,2025-10-14T12:37:33.000Z,HENRY KAUFMANN CAMPGROUNDS DY,108.83810448,TW,HENRY KAUFMANN CAMPGROUNDS,V,,
42115,3.0,2020-01-09T10:13:22.000Z,LINDEN BLVD,65.89434388,TF,LINDEN,C,3.0,2022600354.0
116209,,2022-05-02T16:08:05.000Z,PLAY WAY,411.61931345,NV,PLAY,,,
42548,4.0,2020-08-28T20:49:50.000Z,AVE N,269.29469156,FT,N,C,2.0,1822608992.0
48964,4.0,2024-04-10T13:15:28.000Z,DOANE AVE,790.467655,TW,DOANE,S,2.0,1722606622.0
41243,6.0,2020-08-28T20:49:50.000Z,AVE U,131.83249198,TW,U,C,4.0,22261543.0
49382,4.0,2024-04-10T13:15:28.000Z,CHAPIN AVE,359.29545657,TW,CHAPIN,C,2.0,1622603487.0
90838,1.0,2018-08-28T12:25:43.000Z,MILFORD DR,248.67435892,TF,MILFORD,V,1.0,1622602897.0
62379,4.0,2020-08-28T20:49:50.000Z,UTICA AVE,284.8654269,TW,UTICA,C,2.0,2022605799.0
85692,4.0,2020-08-28T20:49:50.000Z,AVE X,261.15299215,TW,X,H,2.0,1822601335.0
78352,3.0,2017-03-17T09:56:56.000Z,W  10 ST,854.89983204,FT,10,S,1.0,1822606581.0
