day_num,travel_date_dow,deliver_service,no_travel_delivery,no_travel_kids_break
5,4,0,995,995
1,7,0,995,995
7,3,-9998,995,995
4,2,1,995,995
6,7,0,995,995
5,2,0,995,995
2,5,0,0,0
7,1,0,995,995
6,2,0,995,995
5,7,0,995,995
4,2,0,995,995
4,2,0,995,995
3,4,0,0,1
5,7,0,0,0
3,1,0,995,995
3,4,0,995,995
5,4,0,995,995
3,2,0,995,995
5,2,0,995,995
2,7,0,995,995
7,4,-9998,995,995
5,2,0,995,995
5,6,0,995,995
1,2,0,0,0
3,7,0,0,0
6,3,0,995,995
5,4,0,995,995
1,1,0,995,995
7,2,0,995,995
3,4,0,0,0
3,2,0,995,995
5,5,0,995,995
5,5,0,995,995
2,6,0,995,995
7,5,0,995,995
7,5,0,995,995
2,1,0,995,995
2,2,0,995,995
7,7,0,0,0
3,3,0,995,995
4,1,-9998,995,995
6,4,0,995,995
6,3,0,995,995
5,4,0,995,995
6,4,0,995,995
6,7,0,995,995
6,3,0,0,0
2,6,0,995,995
6,4,0,995,995
4,5,0,995,995
2,3,0,995,995
5,3,0,995,995
3,1,0,995,995
7,7,0,995,995
2,6,0,995,995
5,1,1,995,995
3,5,0,995,995
4,5,0,995,995
3,3,0,995,995
2,5,0,995,995
3,1,0,995,995
2,4,0,995,995
2,7,0,995,995
2,6,0,0,0
2,6,0,995,995
5,2,-9998,995,995
5,6,0,995,995
5,6,0,995,995
6,2,1,995,995
7,2,0,995,995
1,7,0,995,995
4,3,0,995,995
7,6,0,0,0
3,1,0,995,995
1,7,0,995,995
7,7,0,995,995
1,6,0,995,995
7,6,0,995,995
5,7,0,0,0
1,2,0,995,995
1,2,0,995,995
4,2,0,995,995
1,4,0,995,995
7,5,0,995,995
7,6,0,0,0
4,5,0,0,0
1,6,0,995,995
7,1,0,0,0
7,1,0,995,995
2,1,0,995,995
7,1,0,995,995
5,4,0,995,995
5,5,0,995,995
6,7,0,995,995
5,1,0,0,0
6,3,-9998,995,995
4,2,0,995,995
3,7,0,0,0
1,6,0,995,995
5,5,0,995,995
6,6,0,995,995
7,4,0,995,995
6,4,0,995,995
5,4,0,995,995
7,4,0,995,995
4,4,0,995,995
6,5,0,995,995
1,1,0,995,995
6,3,0,995,995
3,2,0,-9998,-9998
1,2,0,995,995
3,7,0,995,995
6,1,0,995,995
4,4,0,995,995
7,5,0,995,995
4,2,0,995,995
3,7,0,995,995
1,5,1,995,995
7,7,0,995,995
6,6,0,995,995
7,2,0,995,995
2,2,0,0,0
1,6,0,995,995
7,1,0,995,995
5,4,0,995,995
3,1,0,995,995
4,3,-9998,995,995
1,1,0,995,995
5,3,0,995,995
5,3,0,995,995
2,7,0,995,995
3,7,0,995,995
1,1,0,995,995
1,7,0,0,0
6,5,0,995,995
2,7,0,0,0
5,1,0,995,995
1,5,0,995,995
6,4,0,995,995
3,2,0,995,995
2,2,0,0,0
5,2,0,995,995
2,6,0,995,995
1,1,0,995,995
1,2,1,0,0
3,6,0,995,995
6,7,0,0,0
7,5,-9998,995,995
2,7,0,995,995
3,7,0,995,995
4,5,0,995,995
2,3,0,995,995
1,2,0,995,995
5,5,0,995,995
4,1,0,995,995
7,7,0,995,995
4,3,0,995,995
3,6,0,995,995
6,7,0,-9998,-9998
6,4,0,995,995
6,3,0,995,995
6,4,0,995,995
2,3,0,1,0
4,1,0,995,995
6,5,0,0,0
5,7,0,0,0
4,5,0,995,995
1,6,0,995,995
2,2,0,995,995
5,3,0,995,995
1,6,0,995,995
6,3,0,995,995
2,2,0,995,995
2,1,0,995,995
1,7,-9998,-9998,-9998
7,7,0,995,995
7,1,0,0,0
2,6,0,995,995
5,3,-9998,995,995
2,6,0,995,995
2,3,0,995,995
6,3,0,995,995
3,3,0,0,0
1,1,0,0,0
7,5,0,995,995
7,1,0,995,995
5,2,0,995,995
4,2,0,995,995
2,4,0,995,995
7,6,0,995,995
7,7,0,0,0
7,4,0,995,995
5,4,0,995,995
1,1,0,995,995
1,5,0,995,995
4,2,-9998,995,995
4,6,0,995,995
3,3,0,995,995
1,3,0,995,995
2,6,0,995,995
5,2,0,995,995
1,7,0,995,995
5,7,1,995,995
3,4,0,995,995
5,1,0,995,995
7,5,0,995,995
6,6,0,0,0
6,2,0,995,995
2,3,0,0,0
