male_gender_identity,geography,male_count,male_percentage,male_gender_identity_count,white_or_caucasian_count,multi_race_percentage
11.25,Queens CD 007,679,24.25,315.0,208,0.96
,Bronx CD 002,24,1.48,,3,0.0
,Bronx CD 008,16,0.99,,7,0.06
0.25,Brooklyn CD 002,8,0.28,7.0,1,0.0
0.21,Bronx CD 009,5,0.17,6.0,1,0.03
0.64,Queens CD 003,821,29.32,18.0,237,1.67
0.0,Bronx CD 027,0,0.0,0.0,0,0.0
0.85,Queens CD 007,25,0.89,24.0,0,0.0
0.25,Bronx CD 005,7,0.25,7.0,2,0.1
1.5,Bronx CD 003,41,1.46,42.0,3,0.0
,Brooklyn CD 001,19,1.17,,5,0.0
0.78,Queens CD 013,43,1.53,22.0,1,0.07
0.0,Queens CD 003,906,32.36,0.0,144,1.5
,Brooklyn CD 001,3,0.18,,2,0.0
0.46,Brooklyn CD 011,876,31.28,13.0,413,1.57
5.35,Manhattan CD 003,506,18.07,150.0,49,1.25
0.14,Brooklyn CD 017,4,0.14,4.0,0,0.0
7.28,Bronx CD 001,453,16.18,204.0,35,0.46
0.1,Queens CD 002,3,0.1,3.0,1,0.03
0.35,Brooklyn CD 010,473,16.89,10.0,253,1.21
,Bronx CD 011,0,0.0,,0,0.0
,Bronx CD 012,7,0.43,,1,0.0
0.28,Bronx CD 003,8,0.28,8.0,1,0.1
1.85,Brooklyn CD 015,132,4.71,52.0,55,0.0
,7030,3,0.09,,3,0.0
0.1,Manhattan CD 010,6,0.21,3.0,1,0.03
0.03,Queens CD 001,47,1.67,1.0,41,0.32
4.96,Bronx CD 004,1686,60.22,139.0,88,2.0
,Brooklyn CD 009,51,3.16,,1,0.18
0.46,Brooklyn CD 010,18,0.64,13.0,6,0.0
,Bronx CD 027,2,0.12,,0,0.0
0.0,Queens CD 010,0,0.0,0.0,0,0.0
0.39,Queens CD 012,15,0.53,11.0,1,0.0
0.03,Queens CD 013,1,0.03,1.0,0,0.0
0.03,Manhattan CD 004,1,0.03,1.0,0,0.03
0.0,Manhattan CD 008,0,0.0,0.0,0,0.03
0.17,Queens CD 004,5,0.17,5.0,2,0.0
1.07,Queens CD 014,40,1.42,30.0,12,0.07
0.03,Queens CD 001,1,0.03,1.0,0,0.0
0.21,Richmond CD 003,9,0.32,6.0,7,0.0
0.07,Brooklyn CD 014,5,0.17,2.0,0,0.0
2.32,Manhattan CD 011,949,33.89,65.0,107,2.21
,Brooklyn CD 008,5,0.3,,0,0.0
,Brooklyn CD 002,241,14.93,,22,0.68
0.1,Brooklyn CD 007,3,0.1,3.0,1,0.0
,Bronx CD 001,18,1.11,,3,0.0
0.07,Manhattan CD 002,2,0.07,2.0,2,0.0
1.78,Brooklyn CD 013,47,1.67,50.0,205,0.0
0.14,Brooklyn CD 004,4,0.14,4.0,3,0.03
0.17,Brooklyn CD 010,5,0.17,5.0,0,0.0
2.92,Brooklyn CD 017,1132,40.43,82.0,40,1.25
0.0,Queens CD 013,0,0.0,0.0,0,0.0
,Bronx CD 003,4,0.24,,0,0.06
0.07,Brooklyn CD 009,3,0.1,2.0,0,0.0
2.53,Queens CD 014,939,33.53,71.0,118,1.78
0.35,Manhattan CD 004,478,17.07,10.0,340,1.96
0.07,Manhattan CD 011,2,0.07,2.0,0,0.0
0.0,Richmond CD 001,22,0.78,0.0,18,0.03
0.0,Bronx CD 003,1,0.03,0.0,0,0.0
0.75,Bronx CD 007,20,0.71,21.0,0,0.03
0.03,Manhattan CD 002,1,0.03,1.0,0,0.0
,Brooklyn CD 009,11,0.68,,1,0.06
0.17,Brooklyn CD 014,6,0.21,5.0,17,0.0
0.1,Manhattan CD 003,3,0.1,3.0,0,0.0
10.96,Brooklyn CD 005,995,35.53,307.0,36,0.96
0.17,Manhattan CD 003,8,0.28,5.0,0,0.03
0.21,Manhattan CD 001,6,0.21,6.0,5,0.0
0.46,Manhattan CD 012,28,1.0,13.0,5,0.03
0.03,Richmond CD 002,1,0.03,1.0,0,0.0
0.25,Bronx CD 002,7,0.25,7.0,0,0.0
,Bronx CD 011,6,0.37,,1,0.06
2.35,Bronx CD 005,1096,39.14,66.0,71,1.39
0.03,Queens CD 007,1,0.03,1.0,0,0.0
,Bronx CD 004,32,1.98,,5,0.06
,Bronx CD 010,1,0.06,,0,0.0
0.03,Brooklyn CD 005,1,0.03,1.0,1,0.0
0.1,Manhattan CD 012,4,0.14,3.0,2,0.0
,Brooklyn CD 005,1,0.06,,0,0.0
1.5,Manhattan CD 011,42,1.5,42.0,4,0.0
0.14,Queens CD 009,9,0.32,4.0,2,0.0
1.39,Brooklyn CD 007,43,1.53,39.0,7,0.03
,Bronx CD 004,1070,66.32,,57,1.92
0.0,Brooklyn CD 013,0,0.0,0.0,0,0.0
0.07,Manhattan CD 003,11,0.39,2.0,4,0.07
,Bronx CD 001,245,15.18,,17,0.74
0.28,Bronx CD 003,8,0.28,8.0,1,0.03
,Bronx CD 012,28,1.73,,3,0.24
0.28,Bronx CD 009,8,0.28,8.0,0,0.0
0.03,Brooklyn CD 009,5,0.17,1.0,0,0.0
1.64,Bronx CD 009,46,1.64,46.0,2,0.0
,Brooklyn CD 011,58,3.59,,119,0.06
0.07,Queens CD 010,2,0.07,2.0,0,0.0
1.0,Queens CD 005,25,0.89,28.0,6,0.0
0.57,Brooklyn CD 001,567,20.25,16.0,446,1.6
5.78,Bronx CD 006,419,14.96,162.0,38,0.57
1.0,Richmond CD 002,31,1.1,28.0,28,0.03
3.71,Queens CD 010,300,10.71,104.0,27,0.42
0.03,Manhattan CD 002,1,0.03,1.0,0,0.0
0.1,Queens CD 008,14,0.5,3.0,1,0.0
0.17,Manhattan CD 005,5,0.17,5.0,8,0.0
0.32,Bronx CD 003,10,0.35,9.0,1,0.03
0.39,Bronx CD 007,13,0.46,11.0,3,0.0
,Bronx CD 004,13,0.8,,4,0.06
0.0,Manhattan CD 002,0,0.0,0.0,0,0.0
0.1,Bronx CD 012,2,0.07,3.0,0,0.0
0.07,Queens CD 003,30,1.07,2.0,18,0.1
9.96,Bronx CD 012,639,22.82,279.0,27,0.53
,Bronx CD 003,7,0.43,,0,0.0
,Bronx CD 011,4,0.24,,0,0.0
0.28,Manhattan CD 009,9,0.32,8.0,2,0.07
4.28,Queens CD 001,124,4.42,120.0,143,0.07
3.1,Bronx CD 003,968,34.57,87.0,42,1.53
0.82,Bronx CD 011,27,0.96,23.0,4,0.1
5.53,Brooklyn CD 007,943,33.68,155.0,63,0.35
,Bronx CD 012,7,0.43,,0,0.0
0.64,Brooklyn CD 001,20,0.71,18.0,3,0.0
0.25,Queens CD 010,8,0.28,7.0,2,0.0
,Brooklyn CD 010,3,0.18,,0,0.0
,Bronx CD 010,328,20.33,,78,1.05
,Bronx CD 002,13,0.8,,2,0.12
1.1,Brooklyn CD 014,48,1.71,31.0,4,0.03
0.14,Manhattan CD 007,3,0.1,4.0,11,0.0
0.17,Queens CD 005,5,0.17,5.0,4,0.0
0.6,Manhattan CD 001,30,1.07,17.0,9,0.1
1.96,Manhattan CD 003,919,32.82,55.0,200,2.53
0.78,Brooklyn CD 004,503,17.96,22.0,84,1.03
10.0,Brooklyn CD 016,652,23.28,280.0,11,0.71
0.28,Brooklyn CD 007,8,0.28,8.0,0,0.0
