facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
Houston St,,,,67.0,,,,,,,,3011.0,,Data > 120 days old<br>,,,,No Selection Made,,,,,A Y S Services Inc.,,122.8,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,537.52,,
583-587 Broadway,23.0,,,49.0,,,,,,,10.0,35482.2,,Data > 120 days old<br>,,,,No Selection Made,,,,,Greenwich Energy Solutions,,85.1,,,,,,,,,,,,,,,,61.0,0.0,0.0,,,,,,NEW YORK,188.77,,
(7406) - The Downtown Club Condominium,0.0,,,13.0,,,,,,,10.0,4183.4,,,,,,No Selection Made,,,,,FS Energy,,77.1,,,,,,,,,,,,,,,,60.0,0.0,0.0,,,,,,NEW YORK,22.26,,
25th Stree,,,,99.0,,,,,,20.0,,1342.2,Other,,,,,No Selection Made,,,,,Bright Power,,27.7,,,65.0,,,,,,,,,,,,2.2,,0.0,,,,,,,NEW YORK,7.14,38567.0,
780 Greenwich Street,,,,79.0,,,,,,,,48561.0,,> 65 days in electrical meter entry<br>,,,,Whole Facility Energy Consumption,,,,,,,87.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,258.34,,
(8084) - 59 West 12 Street,0.0,,,63.0,,,,,,,10.0,1505.5,,,,,,No Selection Made,,,,,FS Energy,,67.2,,,60.0,,,,,,,,,,,,2.17,,0.0,,,,,,,NEW YORK,536.91,,
DEPM 1802 - 70 East 10th St,368.0,,,57.0,,,,,,,16.0,,,,,,,No Selection Made,,0.0,,56040.0,Aurora Energy Advisors LLC,,70.6,,,65.0,,,,,,,,,,,7700.0,2.2,65.0,0.0,0.0,,,,,,NEW YORK,2018.6,,
27 East 13,13.0,,,61.0,,,,,,,20.0,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,"University Place Associates, LLC",,,,,,,,,,,,,,,,,,84.0,,2.0,,,,,,NEW YORK,,,
156-168 Ea,,,,3002.0,,,,,,,,1525.3,,Data > 120 days old<br>Temporary values used for meter entries<br>,,,,Default energy data,,,,,,,94.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,321.2,,
The Caledo,469.0,,,83.0,,,,,,0.0,16.0,516661.7,Other,,,,,No Selection Made,,0.0,,42493.0,Bright Power,,166.2,,,65.0,,,,,,,,,,,,2.2,,0.0,,,,,,,NEW YORK,2748.64,3283.0,
VLADECK,0.0,,,202.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
