property_id,property_name,automobile_dealership_gross,source_eui_kbtu_ft,energy_star_certification_5,multifamily_housing_number_4,ice_curling_rink_gross_floor,aquarium_gross_floor_area,medical_office_gross_floor,energy_star_certification_4,retail_store_gross_floor,investment_in_energy_projects,parent_property_name,other_gross_floor_area_ft,office_weekly_operating_hours,race_track_gross_floor_area,office_computer_density_number,nyc_building_identification,percent_better_than_national,costar_property_id,municipally_supplied_potable_1,total_ghg_emissions_metric,fuel_oil_5_6_use_kbtu,weather_normalized_site_1,office_gross_floor_area_ft,site_eui_kbtu_ft,estimated_savings_from_energy_1,supermarket_grocery_gross,multifamily_housing_number_3,investment_in_energy_projects_1,multifamily_housing_total,casino_gross_floor_area_ft,hospital_general_medical_15,percent_of_total_electricity,national_median_source_eui,college_university_number,metered_areas_energy,fast_food_restaurant_gross,data_center_cooling_equipment,hospital_general_medical_11,energy_star_certification_1,retail_store_number_of_walk,data_center_pdu_output_site,transportation_terminal,energy_star_certification,natural_gas_use_kbtu,municipally_supplied_potable,medical_office_weekly,borough
2497918,"Plaza 52, LLC",Not Available,269.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,47.29,Not Available,2.76494,1036463,8.6,Not Available,16.9,2426,Not Available,Not Available,291507,99,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,248.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,556233.4,Not Available,Not Available,MANHATTAN
2636855,230 West 38th Street,Not Available,61.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,6250,0,Not Applicable: Standalone Property,Not Available,55,Not Available,1.06094,1014462,-72.1,Not Available,8.26,456.5,Not Available,Not Available,150809,37.7,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,219.6,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
1426392,845 Third Avenue,Not Available,258.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,18726,0,Not Applicable: Standalone Property,190,65,Not Available,3.24457,1038464,-6.2,Not Available,11.42,3560.1,Not Available,5765108.4,314371,122.1,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,275.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
1730167,250 West 57th,Not Available,153.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,15716,0,Not Applicable: Standalone Property,Not Available,49.35,Not Available,2.5603,1024899,-40.7,Not Available,Not Available,3158.1,15454988.9,7188014.3,585870,66.4,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,259.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2638869,595 West End Ave,Not Available,157.1,No,20,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,2000,Not Available,Not Available,Not Available,1087679,Not Available,Not Available,40.83,441.2,Not Available,388801.1,Not Available,104.8,0,Not Available,Not Available,0,41,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,108770,Not Available,Not Available,MANHATTAN
1536164,ATCO - 555 Fifth Avenue,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,35937,0,Not Applicable: Standalone Property,Not Available,65,Not Available,3.38106,1035401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,205557,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,10/05/2010,2,Not Available,Not Available,2010,Not Available,Not Available,Not Available,MANHATTAN
2552613,AMBASSADOR APTS INC,Not Available,10.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.1,Not Available,47064.4,Not Available,3.2,0,Not Available,Not Available,0,78,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS
2383250,200 East 84th Street,Not Available,120.6,No,36,Not Available,Not Available,Not Available,Not Available,5000,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1048721,Not Available,Not Available,Not Available,663.4,Not Available,681066.4,Not Available,81.3,0,Not Available,Not Available,0,110,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,8661479.6,Not Available,Not Available,MANHATTAN
2630976,23 ARLO RD OM,Not Available,140.2,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,5117034,Not Available,Not Available,Not Available,265.4,Not Available,59679.6,Not Available,123.3,0,Not Available,Not Available,0,33,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4689324,Not Available,Not Available,STATEN IS
1719778,Court Square Place,Not Available,231.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,67.69,Not Available,3.74898,4005157,56.4,Not Available,15.17,1839.2,Not Available,5250295.6,272874,91.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,02/03/2014,Not Available,Not Available,Not Available,"2013, 2012, 2010",7209425,1817.8,Not Available,QUEENS
2630962,2612 W 2 ST PLPM,Not Available,92.2,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3196056,Not Available,Not Available,Not Available,830.2,Not Available,294250.6,Not Available,77.5,0,Not Available,Not Available,0,240,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14099846.5,Not Available,Not Available,BROOKLYN
2386537,1160 Third Avenue - Frost Owners Corp,Not Available,175,No,4,Not Available,Not Available,Not Available,Not Available,12400,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1076299,Not Available,Not Available,36.85,1252.2,0,345849.9,Not Available,151,0,Not Available,Not Available,0,164,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,21769141.7,Not Available,Not Available,MANHATTAN
2273786,82 Wall Street,Not Available,106.4,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,50,Not Available,6.66418,1000877,-63,Not Available,Not Available,255.3,Not Available,Not Available,56271,53,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,287.5,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2546297,"RSD 920, LLC",Not Available,108,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1063343,Not Available,Not Available,Not Available,374.5,Not Available,314987.2,Not Available,77.2,0,Not Available,Not Available,0,71,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5397600.3,Not Available,Not Available,MANHATTAN
2598358,Flushing,Not Available,623.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,166738,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,4113546,168.3,Not Available,Not Available,3516.8,Not Available,6539751.6,Not Available,325.7,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,232.4,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,31861300.5,Not Available,Not Available,QUEENS
2598352,327 Central Park West Condominium,Not Available,151.7,No,120,Not Available,Not Available,5000,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1031638,Not Available,Not Available,54.61,791.3,Not Available,686860.3,Not Available,101.6,0,Not Available,Not Available,0,85,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,208740,Not Available,64.75,MANHATTAN
2612655,Hudson Alley,Not Available,163.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,45.83,Not Available,3.38164,Not Available,-26.4,Not Available,10.84,219.7,Not Available,791492.9,51750,52.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,222.7,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2383987,785 Fifth Avenue,Not Available,118.9,No,40,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1040765,Not Available,Not Available,Not Available,793.9,Not Available,1605252.9,Not Available,51.2,0,Not Available,Not Available,0,53,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72106.7,Not Available,Not Available,MANHATTAN
2595885,3130 Grand Concourse,Not Available,138,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,2017347,Not Available,Not Available,Not Available,1095.9,6604554.6,834166.4,Not Available,96.6,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,594180.7,Not Available,Not Available,BRONX
2595286,1007-7501,Not Available,113.9,No,11,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,4021895;4449243;4449248;4449247;4449246;4449245;4449244,Not Available,Not Available,Not Available,411.8,Not Available,409412.3,Not Available,77.6,0,Not Available,Not Available,0,75,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5607866.9,Not Available,Not Available,QUEENS
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,165.7,No,14,Not Available,Not Available,Not Available,Not Available,1120,0,Not Applicable: Standalone Property,2230,Not Available,Not Available,Not Available,2011294,Not Available,Not Available,163.65,781.5,Not Available,431138.1,Not Available,126.7,0,Not Available,Not Available,0,79,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1964100,Not Available,Not Available,BRONX
2383832,257 West 86th Street,Not Available,112.3,No,24,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1033196,Not Available,Not Available,Not Available,379.2,Not Available,356025.8,Not Available,73.5,0,Not Available,Not Available,0,36,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,225761.8,Not Available,Not Available,MANHATTAN
2603248,220 Riverside Boulevard,Not Available,137,No,880,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1086065,Not Available,Not Available,26.7,3831.2,Not Available,6350461,Not Available,76.3,0,Not Available,Not Available,0,440,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39003296.8,Not Available,Not Available,MANHATTAN
2638808,350 E 77 St.,Not Available,134.5,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,800,Not Available,Not Available,Not Available,1045178,Not Available,Not Available,Not Available,501.9,Not Available,311133.1,Not Available,99.7,0,Not Available,Not Available,0,80,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,200953.3,Not Available,Not Available,MANHATTAN
