property_id,community_board,fuel_oil_5_6_use_kbtu,green_power_onsite_kwh,hospital_general_medical_12,multifamily_housing_number_2,performing_arts_gross_floor,electricity_use_generated_1,property_gfa_calculated_1,energy_star_score,estimated_data_flag,district_hot_water_use_kbtu,national_median_source_eui,library_gross_floor_area,water_use_intensity_all_water,data_center_it_energy,other_number_of_computers,data_center_it_equipment,occupancy,district_steam_use_kbtu,office_percent_that_can_be_1,census_tract,percent_of_electricity_that,year_built,food_sales_gross_floor_area,hospital_general_medical,site_eui_kbtu_ft,hospital_general_medical_8,hospital_general_medical_14,hospital_general_medical_5,electricity_use_grid_purchase_1,municipally_supplied_potable_2,difference_from_national_3,source_energy_use_kbtu,alert_gross_floor_area_is,percent_of_total_electricity,outdoor_water_use_all_water,egrid_output_emissions_rate,medical_office_weekly,multifamily_housing_total_1,fuel_oil_1_use_kbtu,financial_office_weekly,hospital_general_medical_1,national_median_source_energy,multifamily_housing_government,estimated_values_energy,data_quality_checker_date,hotel_worker_density_number,medical_office_gross_floor,senior_care_community_gross,hospital_general_medical_7,self_storage_facility_gross,pre_school_daycare_gross,convenience_store_with_gas_2,municipally_supplied_potable_1,diesel_2_use_kbtu,kerosene_use_kbtu,hotel_gross_floor_area_ft,parent_property_name,college_university_gross,estimated_data_flag_fuel,electricity_use_grid_purchase,source_eui_kbtu_ft,national_median_site_eui,multifamily_housing_total
4473965,203.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2114950,19,No,Not Available,153,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,14701.0,0,1963,Not Available,Not Available,132.3,Not Available,Not Available,Not Available,50279812,Not Available,Not Available,398833445,Ok,Not Available,Not Available,92.8,Not Available,0.98868,Not Available,Not Available,Not Available,323531693.2,No,No,2017-04-27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MORRIS I/MORRIS II/MORRISANIA CAMPUS,Not Available,No,50279827.1,188.6,107.3,2091
5990152,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,263000,27,No,Not Available,89.8,Not Available,7.54,Not Available,Not Available,Not Available,100,Not Available,Not Available,117.0,0,1930,Not Available,Not Available,109.3,Not Available,Not Available,Not Available,1298288.9,Not Available,Not Available,32900282.8,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,23627900.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1984.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1298289,125.1,78.5,Not Available
5932277,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63277,69,No,Not Available,106.9,Not Available,50.36,Not Available,Not Available,Not Available,100,Not Available,Not Available,66.0,0,2006,Not Available,Not Available,62,Not Available,Not Available,Not Available,869961.4,Not Available,Not Available,5936032.4,Ok,Not Available,Not Available,92.8,Not Available,0.77437,Not Available,Not Available,Not Available,6763706.3,100% Yes,No,2017-06-23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,869961.5,93.8,70.6,49
4919368,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71100,100,No,Not Available,118.3,Not Available,92.11,Not Available,Not Available,Not Available,100,Not Available,Not Available,,0,1930,Not Available,Not Available,44.1,Not Available,Not Available,Not Available,138063.1,Not Available,Not Available,3582336.7,Ok,Not Available,Not Available,92.8,Not Available,1.23376,Not Available,Not Available,Not Available,8412286.5,No,Yes,2017-03-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6549.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,138063.1,50.4,103.6,87.72
5936256,402.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86937,Not Available,No,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.0,0,1931,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,296361.8,Not Available,Not Available,930576,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,5213048,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,296361.8,10.7,19.1,Not Available
6011145,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88963,90,No,Not Available,216.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,100,74.0,0,1917,Not Available,Not Available,39.9,Not Available,Not Available,Not Available,3256687.5,Not Available,Not Available,10537132.4,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,19293028.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,3256687.5,118.4,73.1,Not Available
4399380,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96000,37,No,Not Available,225.8,Not Available,59.89,Not Available,Not Available,Not Available,100,Not Available,Not Available,92.0,0,1929,Not Available,Not Available,109,Not Available,Not Available,Not Available,6335633.6,Not Available,Not Available,24233701,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,21677287.5,Not Available,No,Not Available,0.375,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5749.7,Not Available,Not Available,96000,Not Applicable: Standalone Property,Not Available,Not Available,6335632.4,252.4,97.5,Not Available
4917102,108.0,Not Available,Not Available,Not Available,4,Not Available,Not Available,79494,98,No,Not Available,122.6,Not Available,79.11,Not Available,Not Available,Not Available,100,3429863,Not Available,132.0,0,1976,Not Available,Not Available,52,Not Available,Not Available,Not Available,434241.8,Not Available,Not Available,5775353.5,Ok,Not Available,Not Available,92.8,Not Available,1.07578,Not Available,Not Available,Not Available,9745488.8,No,No,2017-06-14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,434241.7,72.7,87.8,81
6038982,412.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83100,81,No,Not Available,112,Not Available,495.1,Not Available,Not Available,Not Available,100,Not Available,Not Available,44602.0,0,2006,Not Available,Not Available,73.1,Not Available,Not Available,Not Available,494358.9,Not Available,Not Available,7415907.7,Ok,Not Available,Not Available,88.7,Not Available,0.9627,Not Available,Not Available,Not Available,9309695.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41142.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,494359,89.2,91.8,80
5934876,207.0,Not Available,Not Available,Not Available,3,Not Available,Not Available,60850,100,No,Not Available,117.6,Not Available,491.18,Not Available,Not Available,Not Available,100,Not Available,Not Available,42902.0,0,1928,Not Available,Not Available,19.2,Not Available,Not Available,Not Available,860353.5,Not Available,Not Available,3023945,Ok,Not Available,Not Available,92.8,Not Available,0.98603,Not Available,Not Available,Not Available,7154013.8,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29888.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,860353.6,49.7,45.4,60
