globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
19FE2D34-AC17-4F72-AA42-807ABDA8AC77,X092-ZN11,40.0,Van Cortlandt Park East,,,,Bronx,11608.0,,
F6D15EE2-8497-42DF-B11B-51C29707B239,,14.0,,,Tree down blocking entire street,2020-08-05T13:39:00,Staten Island,10700.0,,
CECCFDF7-4DC4-428D-8841-F7BA8665E5B2,,36.0,WEST  111 STREET,1015947501.0,,,Manhattan,12423.0,40.798512,186.0
91CC808B-FF6C-4DD9-8252-0AD031F9B156,,13.0,,,Large tree limb down on fence in Playground,2021-07-15T16:11:00,Staten Island,10697.0,,
2F7F1E6A-7E3A-4720-877A-E3D43B0BDAC4,B073-ZN05,27.0,,,5 dead trees being fencing adj 14 prospect park southwest  Tree ID: 5387875,2021-09-29T15:46:00,Brooklyn,17617.0,,
5A1047D7-7D25-4E5D-8DE7-469D6BA9E057,,30.0,CYPRESS AVENUE,4035670019.0,,2016-07-07T12:17:03,Queens,15310.0,40.69706,557.0
AD52FA65-A71C-4251-BFDA-0AC73787B7CC,R005-ZN02,13.0,,,DIA #141212 dead limb  Tree ID: 5586456,2022-08-02T13:42:45,Staten Island,10369.0,,
75D96873-6499-4F04-892C-066C9397D8C5,,16.0,,,193st & Avon tree down,2019-10-22T14:50:00,Queens,24332.0,,
01223451-AADA-4586-B634-DDF52871422F,,34.0,,,Dead limb second tree next to bbc  Tree ID: 5064806,,Queens,14787.0,,
CA8D4630-675C-402E-B98A-7D0F074282AD,,9.0,OAKDALE STREET,,,2015-03-25T04:00:00,Staten Island,10695.0,,
D74416EA-60D6-4206-A376-5A5926846463,,46.0,,,Prune dead limb on locust near stop sign above sidewalk  Tree ID: 3664664,,Queens,24669.0,,
AB5D570B-F36A-4C27-828C-901C30B8F198,,13.0,,,,2018-11-30T12:00:52,Staten Island,10369.0,,
E3C438AD-932C-4582-A531-F2D21C69109C,,9.0,WAINWRIGHT AVENUE,5056260089.0,,2015-07-06T15:30:00,Staten Island,10699.0,40.546146,170.11
7277F626-EBAB-495D-BEA4-30DA48996E64,X190,43.0,,,Tiffany st,,Bronx,10937.0,,
CB4AF2CA-5652-4125-B3AC-71BB1FAC9C32,,14.0,LEGGETT PLACE,,,2023-01-04T17:58:38,Staten Island,10700.0,,
A16901AB-2B97-4AE7-9942-F6288C777D14,Q099-16,24.0,,,3 at plgd,,Queens,14509.0,,
BDF81736-DC6A-4AD1-BDC0-2DD3EB09BA7A,R046-ZN04,14.0,,,Prune dead limbs adj hbct Tree ID: 5597304,2023-06-10T14:01:46,Staten Island,10692.0,,
14DFD213-3755-443C-9951-08A337FF0C07,,44.0,,,London Plane leaning and uprooted from sidewalk Tree ID: 5013201,2021-12-14T14:32:51,Brooklyn,17216.0,,
F38D9742-8418-4372-9D7D-ED21D10EC883,B058-ZN04,38.0,,,"DIA#155272, 2/16/2023",2023-02-23T19:38:00,Brooklyn,18182.0,,
F590E045-5056-4A45-9A18-D6BA92DCA26C,,38.0,,,Remove dead limbs from trees on Manhattan  Avenue,2020-09-14T13:04:17,Brooklyn,18182.0,,
AB9E4FC6-F364-4C8C-BEAD-FC60CE3114AC,,44.0,BAY 17 ST,,,2020-08-21T16:22:00,Brooklyn,17616.0,,
54F64017-22A1-48CC-93B1-FDF418BA8F3D,,45.0,,3071460001.0,,,Brooklyn,18183.0,40.5946,398.0
FB82B818-1A1F-4AB5-A047-8500CECC06B8,,30.0,SUYDAM STREET,,,2016-10-12T23:05:54,Queens,15310.0,,
CE5FD778-9213-42F9-AC15-D442F3697396,,43.0,,,Cut up downed trees,2021-12-20T16:03:12,Bronx,10937.0,,
8FFAF225-D396-4D9B-A577-230315716A1B,,38.0,,,One removal needed Tree ID: 3658622,,Brooklyn,17613.0,,
E5BFC3F7-463B-4367-98DC-3B404594E28D,,37.0,,,Remove 1 large hanging limb over BE by SPE/ BE,2021-09-02T19:39:16,Brooklyn,17215.0,,
AFA29DF6-40A6-4DD3-8151-DDC328395A7C,,25.0,,,EMOVE LARGE DOWN TREE BLOCKING WALKIND/CYCLIUNG PATH,2020-08-31T12:28:47,Brooklyn,17215.0,,
724E4303-C96B-44B0-9B9F-02CB6F0E146F,,46.0,,,Remove large dead Tree limb from trees  Tree ID: 5055392,,Queens,24669.0,,
4BAC4ED4-E1DA-47E9-8DA9-1F378C201DF1,,47.0,,,,2020-09-14T12:56:00,Queens,20529.0,,
