objectid,parkname,:@computed_region_f5dn_yrer,statesenate,physicalid,srtype,sanitationzone,callercity,streetname,notestocustomer,:@computed_region_yeji_bk3q,srstatus,servicerequestparentglobalid,initiateddate
16615349,Van Cortlandt Park,27.0,,,Hanging Limb,,,/,,5.0,Open,,
18397085,Pleasant Plains Plaza,4.0,,,Tree Down - Street,,,slosson,,1.0,Closed,,
26238935,,18.0,30.0,,Street Tree,1101B,,MALCOLM X BOULEVARD,,4.0,Open,,2023-06-02T23:54:56
21265296,Walker Park,4.0,,,Limb Down - Playground,,,na,,1.0,Closed,F2AD0104-C0C9-4B91-907A-3BB27DA05AEC,
17776954,Prospect Park Southwest Upper,13.0,,,Tree Removal,,,park,,2.0,Closed,,
3907958,,54.0,12.0,82631.0,Street Tree,4052C,,SUMMERFIELD STREET,TREE PRESENT,3.0,Closed,,
24033165,Clove Lakes Park Zone 3,4.0,,,Branches Damaged,,,clove road BEHIND IN PARK,,1.0,Closed,,
15606192,Cunningham Park Zone 1,25.0,,,Limb Down - Street,,,.00,,3.0,Closed,,
24582042,Nathan Weidenbaum Playground,53.0,,,Tree Down - Sidewalk,,,0000,To prune dead limb over chess + checkerboard tables.,3.0,Open,,
102016,,15.0,24.0,57033.0,Tree Removal,5033D,,ARMSTRONG AVENUE,,1.0,Closed,,
26473804,157 St Playground,41.0,,,Prune Other,,,,,3.0,Open,,
13193908,Hero Park,4.0,,,Tree Removal,,,,,1.0,Closed,,
745445,,15.0,24.0,100349.0,Limb Down - Street,5034E,,ROCHELLE PLACE,,1.0,Closed,,
5392772,Tiffany Playground,8.0,,,Park Tree,,,,,5.0,Open,,
25146294,,30.0,24.0,86629.0,Clear Building,5024E,,HILLMAN AVENUE,,1.0,Closed,,
5537561,Jurassic Playground,67.0,,,Park Tree,,,,,3.0,Open,,
26118520,Fdr Boardwalk & Beach-Midland Beach Zone 4,31.0,,,Prune Other,,,,,1.0,Closed,,
22620618,John Paul Jones Park,10.0,,,Tree Leaning,,,park,,2.0,Closed,,
25491118,McCarren Park,36.0,,,Hanging Limb,3011A,,park,,2.0,Closed,,
18991392,McCarren Park Zone 1,36.0,,,Prune Dead Wood,,,park,,2.0,Closed,,
18370414,,1.0,22.0,,Limb Down - Other,3114D,na,Park,,2.0,Closed,,2020-08-04T21:47:10
9739166,Old Gravesend Cemetery,32.0,,,Park Tree,,,Gravesend Neck Road,,2.0,Open,,
3846758,,54.0,12.0,21628.0,Tree Plant,4053E,,ONDERDONK AVENUE,DPR CANNOT PLANT AT THIS LOCATION DUE TO GAS,3.0,Closed,,
22690793,Lyons Square Playground,8.0,,,Prune Other,,,,A Parks inspector visited the site and created a work order to address the issue.,5.0,Closed,,
24831574,Roberto Clemente Ballfield,36.0,,,Tree Removal,,,park,,2.0,Open,,
21774226,Belmont Playground,45.0,,,Hanging Limb Other,,,,,2.0,Closed,,
18960889,Spring Creek Park Zone 1,45.0,,,Limb Down - Sidewalk,,,,,2.0,Closed,43E14783-51A5-4293-95D2-CA3619D73CFB,
18846758,Rochdale Park,41.0,,,Branches Damaged,,,00,To prune deadwood,3.0,Open,,
19072062,Bayswater Park,51.0,,,Limb Down - Park Active Area,4142E,,00,,3.0,Closed,,
19171361,Manhattan Beach Park,32.0,,,Prune Dead Wood,3153C,,park,,2.0,Closed,,
5465973,Spector Playground,19.0,,,Park Tree,,,,,4.0,Open,,
23212122,Brower Park,16.0,,,Limb Down - Park Active Area,,,park,,2.0,Closed,,
24118210,Wards Island-Wards Waterfront,7.0,,,Poor Condition,,,WARDS ISLAND,Tree has been removed,4.0,Closed,,
24467973,Ericsson Playground,36.0,,,Prune Other,,,park,Tree under pruning contract BP-B22,2.0,Closed,,
12014769,D'Onofrio Square,29.0,,,Prune Dead Wood,,,/,,5.0,Closed,,
