globalid,crewglobalid,locationdetails,wowoodremains,wopriority,recommendedspecies,sidewalkdamage,projstartdate,sanitationassigneddate,wotype,census_tract,streetname,canceldate,nta,crossstreet2,boroughcode,sanitationzone,cancelreason,:@computed_region_92fq_4b7q,communityboard,stateassembly,wowireconflict,:@computed_region_sbqj_enih
FC5ACBE2-677C-4423-BC9B-1FE67149ADDE,,1X,No Wood Debris,,,,NaT,,Block Pruning,147.0,23 STREET,,Sunset Park (West),6 AV,Brooklyn,3071E,,7,307.0,51.0,No Util Conflict Present,45
DC5A6F89-C19B-4883-9BC1-2EFE1B20D97D,,,No Wood Debris,,,,NaT,,Tree Removal,,,,/,,Bronx,,,12,228.0,,No Util Conflict Present,28
28681E65-E8E4-425E-8D2C-550320474078,,SE SECTION,No Wood Debris,,,,NaT,2019-11-26T18:54:00,Block Pruning,,*,,/,,Manhattan,1111A,,35,111.0,,No Util Conflict Present,14
DED036EE-7331-4DE8-AD74-514F7CE3DA12,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,POPPENHUSEN AV,Queens,4075D,,20,407.0,27.0,No Util Conflict Present,67
72B663F5-F51B-4F3C-A8D5-67726ED1C36D,,2F,No Wood Debris,5.0,,,NaT,,Tree Removal,,EAST63STREET,,/,PEDESTRIAN PATH,Manhattan,1081B,removed by central,1,108.0,76.0,No Util Conflict Present,11
5F5A5C27-B98A-422E-AD52-109E9BC4DFE1,,2S,No Wood Debris,,,,NaT,,Block Pruning,,ARNOLD AVENUE,,/,ARNOLD AV,Queens,4051D,,34,405.0,37.0,No Util Conflict Present,62
BB689376-036B-486A-91A5-0F6B5E5FA291,,"1F 22"" red maple",No Wood Debris,7.0,,,NaT,,Pruning,,ROMBOUTSAVENUE,,/,CONNER STREET,Bronx,2125E,refer to block pruning contract.,2,212.0,83.0,No Util Conflict Present,30
DE843034-4440-48F9-9615-163E17A9521A,,1F,No Wood Debris,,,,NaT,,Block Pruning,,MAYFLOWERAVENUE,,/,ZULETTE AV,Bronx,2103E,,12,210.0,82.0,No Util Conflict Present,28
E291C4FE-40CD-444B-8125-257AE4066706,,1F,No Wood Debris,8.0,,,NaT,,Tree Removal,507.0,81 STREET,,Middle Village,81 ST,Queens,4055D,,34,405.0,30.0,No Util Conflict Present,62
83175E8A-6183-4B20-B2E8-4600CA7A66EF,,1F 14IN MAPLE,No Wood Debris,8.0,,,NaT,,Tree Removal,,190STREET,,/,ABERDEEN RD,Queens,4081C,,16,408.0,24.0,No Util Conflict Present,65
FBD39FEE-8F99-4314-9D2C-4E6F6444F0FB,,1F,No Wood Debris,,,,NaT,,Stump Removal,,51AVENUE,,/,51 AV,Queens,4114D,,20,411.0,26.0,No Util Conflict Present,69
95B4C7CF-7161-430F-A8FB-03C1261D02F8,,1f; closest to Nostramd Ave,No Wood Debris,8.0,,,NaT,,Pruning,,EMMONSAVENUE,,/,LINCOLN TER,Brooklyn,3154E,,15,315.0,41.0,No Util Conflict Present,36
2ADB4214-2B9C-47EC-9844-45AAFC0BD7E3,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,FOCH BLVD,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
09FD9CEB-83B9-424B-ACEA-1B49F29BDA3A,,2S,No Wood Debris,,,,NaT,,Block Pruning,,CHAUNCEYSTREET,,/,SARATOGA AV,Brooklyn,3035B,,17,303.0,55.0,No Util Conflict Present,52
14E62A2C-02EF-4BA2-9A7F-49CC5960691A,,1F,No Wood Debris,,,,NaT,,Block Pruning,,MORTONSTREET,,/,MORTON ST,Staten Island,5031C,,14,503.0,62.0,No Util Conflict Present,76
1825CEEB-A091-4971-A22B-220B521C1AA4,,1F prune dw,No Wood Debris,8.0,,,NaT,,Pruning,6.0,78 STREET,,Woodhaven,ROCKAWAY BLVD,Queens,4092C,,34,409.0,38.0,No Util Conflict Present,60
CA17ABA6-5D8F-492E-BD8F-0CD7DE75D6C3,,,No Wood Debris,,,,,,Block Pruning,,,,/,PEDESTRIAN OPAS,Manhattan,1092A,,23,109.0,71.0,No Util Conflict Present,19
612D3CC4-2E89-44F6-8474-14AF13D1E701,,,No Wood Debris,7.0,,,NaT,,Pruning,,,,/,RESERVOIR OVAL W,Bronx,2073B,,40,207.0,81.0,No Util Conflict Present,34
C00BACBA-97BF-4742-8BCA-71C6D4A74B2D,,1F,No Wood Debris,,,,NaT,,Stump Removal,,260STREET,,/,83 AV,Queens,4131D,,16,413.0,33.0,No Util Conflict Present,63
51334F84-79F1-424C-B2EE-75F65355BE36,,,No Wood Debris,,,0.0,NaT,,Misc Work,,WEST121STREET,,/,7 AVENUE,Manhattan,1101A,,36,110.0,70.0,No Util Conflict Present,18
