unique_key,location,:@computed_region_sbqj_enih,resolution_action_updated,bbl,descriptor
67133313,"{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}",65,2025-12-10T18:17:01.000,4097130163.0,Parking Permit Improper Use
67249772,"{'type': 'Point', 'coordinates': [-73.866813, 40.754603]}",73,2025-12-21T03:19:53.000,4017350028.0,Parking Permit Improper Use
67133322,"{'type': 'Point', 'coordinates': [-73.975425, 40.65181]}",45,2025-12-10T16:24:54.000,3052770051.0,Parking Permit Improper Use
67162838,"{'type': 'Point', 'coordinates': [-73.973806, 40.681815]}",50,2025-12-13T15:02:31.000,3011287505.0,Parking Permit Improper Use
67264786,"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}",47,2025-12-23T04:21:07.000,3036990036.0,Parking Permit Improper Use
67239710,"{'type': 'Point', 'coordinates': [-73.905784, 40.835724]}",25,2025-12-19T16:54:57.000,,Parking Permit Improper Use
67271409,"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",65,2025-12-22T10:12:58.000,4067970040.0,Parking Permit Improper Use
67180625,"{'type': 'Point', 'coordinates': [-73.914455, 40.703003]}",53,2025-12-14T22:46:22.000,3033020026.0,Parking Permit Improper Use
67209055,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",66,2025-12-16T06:06:42.000,4000320006.0,Parking Permit Improper Use
67209051,"{'type': 'Point', 'coordinates': [-73.90236, 40.874268]}",33,2025-12-16T17:27:27.000,2032530138.0,Parking Permit Improper Use
67248649,"{'type': 'Point', 'coordinates': [-73.871966, 40.751412]}",73,2025-12-20T20:12:48.000,4014697502.0,Parking Permit Improper Use
67191431,"{'type': 'Point', 'coordinates': [-73.943155, 40.590106]}",36,2025-12-16T03:37:35.000,3074427501.0,Parking Permit Improper Use
67152005,"{'type': 'Point', 'coordinates': [-73.832172, 40.852479]}",28,2025-12-13T02:55:25.000,,Parking Permit Improper Use
67209052,"{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}",73,2025-12-16T15:01:49.000,4017530112.0,Parking Permit Improper Use
67243561,"{'type': 'Point', 'coordinates': [-73.745031, 40.696135]}",63,2025-12-19T14:32:08.000,4126360010.0,Parking Permit Improper Use
67257491,"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",65,2025-12-21T13:52:57.000,4070040001.0,Parking Permit Improper Use
67246217,"{'type': 'Point', 'coordinates': [-73.96183, 40.661566]}",44,2025-12-20T04:20:54.000,3050240053.0,Parking Permit Improper Use
67231988,"{'type': 'Point', 'coordinates': [-73.85065, 40.785297]}",67,2025-12-19T10:58:58.000,4040510021.0,Parking Permit Improper Use
67126801,"{'type': 'Point', 'coordinates': [-74.028117, 40.617562]}",41,2025-12-10T13:49:01.000,3060890001.0,Parking Permit Improper Use
67218818,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",66,2025-12-17T13:51:58.000,4000320006.0,Parking Permit Improper Use
67280878,"{'type': 'Point', 'coordinates': [-73.880338, 40.744092]}",68,2025-12-23T14:39:07.000,4015180034.0,Parking Permit Improper Use
67267488,"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",57,2025-12-22T02:48:28.000,3026190001.0,Parking Permit Improper Use
67147204,"{'type': 'Point', 'coordinates': [-73.937722, 40.755517]}",72,2025-12-12T21:39:47.000,4003890033.0,Parking Permit Improper Use
67259434,"{'type': 'Point', 'coordinates': [-73.871713, 40.673013]}",47,2025-12-21T12:39:17.000,3042490055.0,Parking Permit Improper Use
67235810,"{'type': 'Point', 'coordinates': [-73.983361, 40.608589]}",37,2025-12-18T14:51:15.000,3065970063.0,Parking Permit Improper Use
67199834,"{'type': 'Point', 'coordinates': [-73.801942, 40.686371]}",61,2025-12-15T02:57:17.000,4119280109.0,Parking Permit Improper Use
