acquisition,material,secondary_artist_first,location_name,subject_keyword,secondary_architect_first
"Gifted by James S. Slosson Post, American Legion",Bronze,,Lyons Pool Recreation Center,"World War I, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,Ceramic tile,,Marcy Plaza,"Mosaic, Pattern",
Gift of Pete McArdle Memorial Committee,"Aluminum, granite",,Van Cortlandt Park,"Athlete, Sports, Immigrant, Irish, Runner",
Gift of Mrs. Charles Augustine Robinson,"Iron, bronze, granite",,Central Park,"Public Servant, Civil Servant",
Gift of Clinton District Monument Association,Bronze on granite,,De Witt Clinton Park,"Doughboy, World War I, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,Bluestone Pavers,,,"Abstract, Sidewalk",
Gift of Gordon Webster Burnham,"Bronze, granite",,Central Park,"Animals, eagle",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Stainless steel, iron",,Thomas Jefferson Park,"Abstract, African American, Black American, Black History",
Gift of Eighth Assembly District Memorial Committee,"Bronze, granite",,Carroll Park,"World War I, War, Veterans",
Gift of Rockaway Beach Memorial Committee,"Bronze, Deer Isle granite",,Rockaway Beach Boulevard at Beach 94th Street,"World War I, World War II, Korean War, Vietnam War",
Gift of the Knights of Columbus/ Madonna Council,"Granite, bronze",,Franklin D. Roosevelt Boardwalk and Beach,"Vietnam War, War",
Gift of The Grand Lodge-Knights of Pythias,Granite,,Central Park,"World War I, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,Mixed media,,Sheepshead Bay Fishing Piers,"Maritime, pier",
Gift of New York State National Guard Association,"Bronze, Westerly granite",,Van Cortlandt Park,"American Civil War, Military, War",
"Gifted by Knoedler & Company, Tony Rosenthal, and an anonymous donor",Cor-ten steel,,Astor Place,Abstract,
Commissioned by The City of Brooklyn,Bronze,,Soldiers' and Sailors' Arch,"American Civil War , War",
Gift of Salute to the Seasons Fund from donation by Hugh Trumbull Adams,Bronze on granite base,,Sutton Place Park,Animals,
Commissioned through Department of Cultural Affairs Percent for Art Program,"Cast iron, welded steel",,Louis Armstrong Memorial Cultural Center,Abstract,
"Gift of City of Athens, Greece (sculpture); Gift of Athens Square, Inc. (installation)","Bronze, green granite",,Athens Square Park,"Mythology, Greek",
Gift of Granito-Smith Post No. 1296,Bronze,,Liotti-Ikefugi Playground,"Veteran, World War II, War",
Gift of the People of the Netherlands,"Bronze, granite",,Battery Park,"Colonial, Dutch, Native American",
Purchased with Works Progress Administration Funds,Stone,,Crotona Pool Bath House,"Animals, WPA, Bathhouse",
Gift of The Morris Dickstein Post #462,"Granite, bronze",,Straus Square,"War, Veterans",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Terra cotta tile, orange grout",,Riverside Health Center,,
Gift of The Twenty-Seventh Memorial Post-American Legion # 1751,"Bronze, granite",,Macri Triangle,"World War II, War",
"Gift of The ""Balto Monument Committee""",Bronze on natural boulder,,Central Park,"Animals, Alaska",
Commissioned through Department of Cultural Affairs Percent for Art Program,Cast concrete,,Long Island City Library,"bas-relief, abstract",
Gift of The Women's Auxiliary to the American Scenic and Preservation Society,Bronze,,Central Park,"War of 1812, War",
Gift of Dr. and Mrs. Murray Fuhrman,"Bronze, darkly mottled schist",,Forest Park,"Biblical, Holocaust, World War II, War",
"Gift of McNally Post 263, American Legion","Bronze, Deer island granite",,McNally Plaza,"World War I, War",
Gift of New York Community Trust,Aluminum,,,Landmark,
Gift of The Cultural Coalition of Staten Island,Bronze,,Clove Lakes Park,"Animals, Literary Characters",
Gift of the Prospect Heights District Council Boy Scouts of America,"Bronze, natural boulder",,Prospect Park,"President of the United States, politician",
"Gift of Parks, Recreation & Cultural Affairs Administration",Granite,,Ralph Bunche Park,Biblical,
Commissioned by the New York State Department of Transportation,Bronze,,Joseph Manna Park,"World War II, War",
Gift of the Samuel J. Tilden Estate,"Bronze, granite",,Riverside Park,"Governor, Philanthropist, Politician, public servant, Lawyer",
Purchased with Works Progress Administration Funds,Bronze,,Central Park Zoo,"Animals, WPA",
Gift of Mr. and Mrs. Ery Kehaya,"Bronze, granite",,Randall's Island,"Athlete, sports, athletics, Allegorical",
,"Bronze, marble",,John J. Carty Park,"Explorer, Italian",
Gift of James C. Van Siclen,Gray westerly granite,,Captain Tilly Memorial Park,"Spanish-American War, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Stucco substrate, commercial exterior latex paint",,McCarren Park,Mural,
Purchased with T.E.R.A. Funds,Indiana limestone,,Central Park Zoo,"Animals, WPA",
Purchased with Works Progress Administration Funds,Stone,,Crotona Pool Bath House,"Animals, WPA, Bathhouse",
Gift of National Society of Colonial Dames,"Bronze, boulder",,Van Cortlandt Park,"Constitution, Colonial, American Revolutionary War",
Gift of the Midland Beach Community Center,Granite,,Franklin D. Roosevelt Boardwalk and Beach,"World War I, World War II, Korean War, Vietnam War, War, Veterans",
Commissioned by Department of Parks & Recreation,Granite,,Central Park,"Literary Character, WPA, Woman, women",
"Gift of The Polish American Congress, Downstate N.Y. Division",Granite,,McCarren Park,"Religious leader, Polish",
Acquired by provision of the New York State Legislature,"Bronze, Conway green granite",,Theodore Roosevelt Park,"Equestrian, Politician, President of the United States, Governor",
,"Bronze, granite",,Madison Square Park,"Prisoners of War, POW, Veterans, War",
Commissioned by the Department of Parks and Recreation,"Bronze, natural boulder",,Anthony R. Gaeta Park,"Politician, Public Servant",
Gift of Joseph Weiner,"Bronze, granite",,Washington Irving High School,Author,
"Gift of Maryland Society, Sons of the American Revolution","Granite, bronze, marble",,Prospect Park,"American Revolutionary War, Colonial, War",
Gift of the Washington Arch Committee,Marble,Philip,Washington Square Park,"Arch, Politician, President of the United States,",
Commissioned by Department of Parks and Recreation with Works Progress Administration Funds,Cast Stone,,Central Park,"Children, WPA",
"Gift of Julia Olivia Hardin, trustee for Anna E. Hutchins Barrett","Bronze, Pink Tennessee marble",,Barrett Triangle,"Landscape Architect, Armed Forces, Veteran, American Civil War, Public Servant, War",
Gift of American Legion Post 422,"Bronze, cast stone",,Corporal Leonard Square,"World War I, War",
Gift of Irwin Hersey and Friends of Chaim Gross,"Bronze, Carnelian red granite",,Bleecker Playground,"Abstract, Children",
Gift of Citizens of Middle Village; Property Owners Association of Middle Village,Barre granite,,Middle Village Playground,"World War I, World War II, Korean War, Vietnam War, War, Veterans",
,"Granite, steel",,Pelham Bay Park,,
"Gift of Daniel Willis James and Theodore Roosevelt, Sr.","Bronze, granite",,Union Square Park,"Fountain, Temperance Movement",
Gift of the Red Cross,Granite,,Central Park,"World War I, World War II, Women, woman, War, Healthcare, Medical Service",
Gift of the New York Joint Legislative Committee for the American Jewish Tercentenary Committee,"Bronze, granite, steel",,Peter Minuit Plaza,"Immigration, Immigrants, Jewish",
Gift of Bronx Venture Corporation,Cor-Ten Steel,,Fox Playground,"Puerto Rico, Puerto Rican, Latinx, Latin American, Nature, West Indies",
Gift of The Hungarian American Memorial Committee,Granite,,Riverside Park,"Hungarian, Hungary, Revolution, Hungarian Revolution of 1956",
Commissioned through Department of Cultural Affairs Percent for Art Program,Vermilion granite,,,Flight 587,
Gift of the New England Society,"Bronze, granite",,Central Park,"Colonial, English",
Gift of John C. Hamilton,Granite,,Central Park,"Politician, Public Servant, American Revolutionary War",
"Gift of the city of Naples, Italy","Marble, bronze",,Central Park,Musician,
