site_name,address_2,fixed_address,state_senate_district,provider_id,state,bp_population
Mc Kee High School,,True,23.0,607,NY,
Bronx Charter School for Children,,True,29.0,1111,NY,
Bronx Family Justice Center,,True,32.0,157,NY,
Cure Violence - 60 Precinct,,False,,409,,
IS 218 Beacon,,True,19.0,607,NY,
Marine Park,,False,,607,,
Arts Therapy - Bright Harp,,True,10.0,735,NY,
Bronx,,True,32.0,683,NY,
The Legal Aid Society,,True,26.0,30,NY,
Asian Americans For Equality,,True,26.0,465,NY,
Brooklyn Queens Outreach,,False,,869,,
Tompkins Houses Basketball League,,False,,607,,
Manhattan,Room 1102,True,26.0,157,NY,
Arab American Family Support Center,3rd. floor,True,26.0,380,NY,
Queens - LIC,,True,12.0,1235,NY,
Works Plus North,,True,36.0,99,NY,
All City Leadership Secondary School,,True,18.0,197,NY,
"Biobus, Inc",,True,21.0,131,NY,
Brooklyn Justice Initiatives,,True,25.0,152,NY,
St. Nicholas Houses Basketball League,,False,,607,,
Van Dyke Houses Playstreets and VIBE,,False,,607,,
"BronxWorks, Inc.",,True,33.0,40,NY,
Petrides High School,,True,24.0,607,NY,
NYC Business Solutions Bronx Center,7th floor,True,34.0,629,NY,
Therapeutic services - 79 Precinct,,True,25.0,152,NY,
NYC office,4th Floor,True,26.0,1235,NY,
Achievement First Brownsville Charter School,,True,19.0,837,NY,
301 Henry Street Youth Center,,True,26.0,38,NY,
Academy of Arts and Letters,,True,25.0,369,NY,
AAFE FLUSHING,,True,11.0,465,NY,
MONTEFIORE MEDICAL CENTER_Bronx,,True,34.0,162,NY,
Harlem,,True,30.0,920,NY,
Belmont & Concourse Village,,False,,1577,,
Project Hospitality Drop-in,,True,23.0,512,NY,
Medgar Evers College,,True,20.0,533,NY,
East New York,,True,19.0,99,NY,
NYCHA Polo Grounds Towers,,False,,1141,,
NYC,,False,,81,,
Therapeutic services - 101 Precinct,,True,10.0,673,NY,
Bangladeshi American Community Development and Yotuh Services,,True,15.0,328,NY,
PAL Harlem Teen Center,,True,30.0,607,NY,
Urban Justice Center - HQ,"UJC Service Location -260 E 188TH Street, Bronx, NY 10458",True,26.0,207,NY,
Bameso USA,,True,31.0,2374,NY,
Brooklyn office,,True,26.0,165,NY,
Center for Employment Opportunities,,True,26.0,783,NY,
"Bridge The Gap Youth, Inc.",,True,17.0,2585,NY,
PAL Webster Teen Center,,True,33.0,607,NY,
46 Precinct (Bronx),,True,33.0,157,NY,
Thurgood Marshall Academy for Learning and Social Change,,True,30.0,152,NY,
Therapeutic services - 48 Precinct,,True,33.0,1577,NY,
50th Precinct Community Council,,True,33.0,99,NY,
Harlem Center,,True,30.0,607,NY,
PEAK Bronx,,True,29.0,9,NY,
Bohemian Brethren Presbyterian Church,,True,28.0,2847,NY,
Queensbridge Houses Basketball League,,False,,607,,
NYCID,,True,23.0,588,NY,
MS 390,,True,33.0,607,NY,
99 Essex Street,3rd Floor,True,26.0,38,NY,
CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,,True,36.0,507,NY,
BGT at Kingsborough Community College,,True,22.0,485,NY,
Rikers Island bail reform reentry,,False,,510,,
Bronx Alliance Middle School,,True,36.0,587,NY,
Abraham Stockton Common School,,True,18.0,1419,NY,
Fedcap CA Criminal Justice,,True,27.0,885,NY,
Wagner Houses,,True,30.0,1668,NY,
Community Mediation Services,,True,14.0,514,NY,
Atmosphere Charter School,,True,31.0,639,NY,
Warehouse and Delivery of non-perishable food to Food Pantries and Soup Kitchens,,False,,44,,"[""everyone""]"
PAL New South Bronx Teen Center,,True,32.0,607,NY,
NYC,,False,,2598,,
Queens,,True,10.0,2064,NY,
A. Philop Randolph Campus High School,,True,30.0,502,NY,
52 Precinct (Bronx),,True,36.0,157,NY,
Brooklyn,,False,,411,,
Midtown Community Court,,True,27.0,152,NY,
Beatrice C. Catullo Residence,,True,36.0,220,NY,
Staten Island Family Justice Center,,True,23.0,21,NY,
NYC,,False,,157,,
Therapeutic services - 46 Precinct,2nd Floor,True,33.0,1577,NY,
Brooklyn,,True,18.0,1187,NY,
JusticeHome outreach,,False,,970,,
Always on Sunday,,True,12.0,2809,NY,
Brownsville Community Justice Center,,True,20.0,152,NY,
Non-Residential Domestic Violence Services,,True,27.0,570,NY,"[""families""]"
New York Legal Assistance Group Inc.- HQ,,True,26.0,21,NY,
Argus Community,,True,32.0,794,NY,
BronxConnect E. 149 St.,,True,29.0,1577,NY,
BCA After Program - PS 105,,True,18.0,357,NY,
Red Hook Community Justice Center,,True,25.0,152,NY,
CPC,2 Floor,True,26.0,761,NY,"[""veterans"",""nycha residents"",""seniors""]"
Adult Literacy,,True,32.0,40,NY,
Red Hook Community Justice Center,,True,25.0,1235,NY,
JusticeHome Manhattan,,True,27.0,970,NY,
Berman Early Childhood Center,,True,24.0,302,NY,
"Discretionary SNAP Enrollment, EITC program and Capacity Expansion Efforts at Food Pantries Citywide",,False,,44,,"[""everyone""]"
Betances - Bronx Works,,True,29.0,40,NY,
Bank Street College of Education,,True,20.0,599,NY,
Manhattan Family Justice Center,,True,26.0,64,NY,
Staten Island Justice Center,,True,23.0,152,NY,
Paul's Place Drop-in,,True,27.0,463,NY,
Sheltering Arms-Marolla Place,,True,36.0,152,NY,
23 Precinct (Manhattan),,True,29.0,157,NY,
Legal Aid Society,,True,26.0,30,NY,
Harlem NeON,,True,30.0,1570,NY,
HELP SOCIAL SERVICE CORPORATION_Bronx,,True,32.0,570,NY,
Brooklyn Queens Outreach,,False,,869,,
Atlantic Terminal - University Settlement,,True,26.0,365,NY,
Flametree W. 140 St,,True,31.0,76,NY,
Outreach,,False,,512,,
Atlas:DIY Corporation,Suite PH-B,True,20.0,458,NY,
Bronx,Lower Level,True,32.0,1564,NY,
Staten Island,5th Floor,True,23.0,157,NY,
Washington Heights Workforce1 Center,5th Floor,True,31.0,947,NY,
"And-Hof Animals, Sanctuary for Farm Animals",,True,,168,,
Cure Violence - 75 Precinct (B),,False,,1430,,
North Shore,,False,,1981,,
161st  STREET MERCHANTS BLOCK ASSOCIATION. INC.,7M,True,33.0,400,NY,
All Stars Telent Show - PS 171,,True,12.0,65,NY,
AAFE Jackson Heights,,True,13.0,465,NY,
NYCHA Wagner Houses,,False,,1141,,
Haven Drop-in,,True,29.0,639,NY,
Brooklyn,,True,20.0,629,NY,
"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Brooklyn",1st floor,True,18.0,218,NY,
Bottomless Closet,,True,20.0,473,NY,
NYCHA Red Hook Houses,,False,,1141,,
Allied Veterans Memorial Committee of Ridgewood and Glendale,,True,15.0,317,NY,
Duncan Center,,True,31.0,607,NY,
The Legal Aid Society RI,,True,26.0,30,NY,
Bronx High School for the Visual Arts,,True,34.0,533,NY,
